franchise,band,pos,q_observed,q_league,q_shrunk,lift,n_picks,shrink_k,source,basis,confidence
Phil Baldino,rd1-3,WR,0.2821,0.4128,0.3652,0.8847,26,45.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd1-3,WR,0.4256,0.4128,0.4187,1.0143,39,45.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Richie,rd1-3,WR,0.4103,0.4128,0.4117,0.9973,39,45.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Rob & GregBo,rd1-3,WR,0.4053,0.4128,0.4093,0.9916,39,45.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Ronnie,rd1-3,WR,0.2507,0.4128,0.3379,0.8185,39,45.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Team JoeBa,rd1-3,WR,0.5808,0.4128,0.4754,1.1517,27,45.4,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Antdell & Ernie,rd1-3,TE,0.0959,0.0637,0.0716,1.1239,39,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Cambrias,rd1-3,TE,0.1451,0.0637,0.0837,1.3134,39,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Chris & Dom,rd1-3,TE,0.0681,0.0637,0.0648,1.017,39,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Frank & Julian,rd1-3,TE,0.0705,0.0637,0.0654,1.0262,39,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
GaTTa,rd1-3,TE,0.156,0.0637,0.0721,1.1317,12,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
John Juliano,rd1-3,TE,0.0,0.0637,0.0566,0.8889,15,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
LFTLR,rd1-3,TE,0.0941,0.0637,0.0688,1.0796,24,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Mike Long,rd1-3,TE,0.0,0.0637,0.0579,0.9091,12,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
Nolan & Vinny,rd1-3,TE,0.0676,0.0637,0.0647,1.0152,39,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Phil Baldino,rd1-3,TE,0.0698,0.0637,0.0648,1.017,26,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd1-3,TE,0.0234,0.0637,0.0538,0.8449,39,120.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
