position,player_count,total_points,avg_points,top_player_name,top_player_team,top_player_total_points,top_player_gsis_id
WR,277,83605.22,10.74,DeAndre Hopkins,TEN,2205.04,00-0030564
RB,281,71568.32,11.15,Christian McCaffrey,SF,2314.26,00-0033280
QB,85,42806.26,16.58,Patrick Mahomes,KC,2196.78,00-0033873
TE,124,26779.96,8.96,Travis Kelce,KC,2341.46,00-0030506
K,74,18763.68,8,Justin Tucker,BAL,1482,00-0029597
DEF,32,17584,7.55,New England Patriots,NE,1101,DEF-0022
