stat,value
avgPickValue,1.77
avgSeasonValue,267.74
avgTeamValue,25.78
mostDraftedPlayer,"{""player"":""New England Patriots &middot; DEF"",""count"":12}"
mostDraftedTeam,"{""team"":""KC"",""count"":80}"
mostValueByPlayer,"{""player"":""Travis Kelce &middot; TE"",""value"":209.74}"
mostValueByTeam,"{""team"":""KC"",""value"":337.58}"
