season,posteam,run_location,run_gap,carries,yoe_per_carry,stuff_rate
2020,ARI,left,end,32,-2.9156845808029175,0.3125
2020,ARI,left,guard,28,-0.103338611977441,0.10714285714285714
2020,ARI,left,tackle,30,0.792136151591937,0.23333333333333334
2020,ARI,middle,guard,179,0.14668619849162476,0.15083798882681565
2020,ARI,right,end,27,-0.13694198926289905,0.25925925925925924
2020,ARI,right,tackle,28,0.03771001100540161,0.21428571428571427
2020,ATL,left,end,43,-1.2879015872644826,0.16279069767441862
2020,ATL,left,guard,70,-0.30605316758155837,0.14285714285714285
2020,ATL,left,tackle,56,0.4915752847279824,0.21428571428571427
2020,ATL,middle,guard,52,-0.6332737809190381,0.17307692307692307
2020,ATL,right,end,38,1.6369231751090596,0.13157894736842105
2020,ATL,right,guard,60,-0.8813108901182811,0.15
2020,ATL,right,tackle,47,-0.8689504836467984,0.2127659574468085
2020,BAL,left,end,48,1.4511841560403507,0.20833333333333334
2020,BAL,left,guard,55,0.7777097447351975,0.07272727272727272
2020,BAL,left,tackle,46,1.5371764198593465,0.17391304347826086
2020,BAL,middle,guard,54,-0.5981105676403748,0.2037037037037037
2020,BAL,right,end,51,2.3020618943607096,0.0784313725490196
2020,BAL,right,guard,73,-0.06917888416002889,0.1506849315068493
2020,BAL,right,tackle,72,-0.7061795095602672,0.1111111111111111
2020,BUF,left,end,37,1.2376387054855755,0.16216216216216217
2020,BUF,left,guard,38,-0.513499377589477,0.15789473684210525
2020,BUF,left,tackle,70,0.5994410565921239,0.14285714285714285
2020,BUF,middle,guard,81,-0.002955125069912616,0.1728395061728395
2020,BUF,right,end,24,0.9159605751434962,0.125
2020,BUF,right,guard,25,-1.058703066110611,0.24
2020,BUF,right,tackle,43,-1.0679381087768909,0.20930232558139536
2020,CAR,left,end,26,0.024644473424324794,0.23076923076923078
2020,CAR,left,guard,40,-0.5535860449075698,0.15
2020,CAR,left,tackle,37,0.09137202436859518,0.08108108108108109
2020,CAR,middle,guard,95,0.014200151594061695,0.17894736842105263
2020,CAR,right,end,24,-0.06670440236727386,0.16666666666666666
2020,CAR,right,guard,37,-0.5959891950761952,0.16216216216216217
2020,CAR,right,tackle,34,-0.3515508245019354,0.14705882352941177
2020,CHI,left,end,22,-0.7577202320098877,0.2727272727272727
2020,CHI,left,guard,39,-0.55469451042322,0.2564102564102564
2020,CHI,left,tackle,42,1.5669337213039398,0.16666666666666666
2020,CHI,middle,guard,56,0.3165878030870637,0.21428571428571427
2020,CHI,right,end,19,-0.5109285053453949,0.21052631578947367
2020,CHI,right,guard,48,-0.08154822885990143,0.14583333333333334
2020,CHI,right,tackle,58,-0.568376625406331,0.1896551724137931
2020,CIN,left,end,23,-0.1304954743903618,0.30434782608695654
2020,CIN,left,guard,46,0.4881273916234137,0.13043478260869565
2020,CIN,left,tackle,47,0.2898447615035042,0.2553191489361702
2020,CIN,middle,guard,81,-0.42472575034624255,0.13580246913580246
2020,CIN,right,end,31,-1.645943234043737,0.3548387096774194
2020,CIN,right,guard,59,-0.5904990480107779,0.1694915254237288
2020,CIN,right,tackle,45,-0.668671711285909,0.1111111111111111
2020,CLE,left,end,47,2.1058535195411516,0.2127659574468085
2020,CLE,left,guard,97,-0.024604629302761333,0.21649484536082475
2020,CLE,left,tackle,77,1.5009491149481238,0.11688311688311688
2020,CLE,middle,guard,52,1.0539604677603802,0.23076923076923078
2020,CLE,right,end,31,0.10367576537593713,0.22580645161290322
2020,CLE,right,guard,99,-0.014944704494090664,0.15151515151515152
2020,CLE,right,tackle,74,0.3935088551527749,0.22972972972972974
2020,DAL,left,end,29,0.6695287392057221,0.2413793103448276
2020,DAL,left,guard,37,-1.3203001199541866,0.21621621621621623
2020,DAL,left,tackle,66,0.0509939243396124,0.13636363636363635
2020,DAL,middle,guard,86,-0.06657682948334319,0.19767441860465115
2020,DAL,right,end,29,-0.8317434582216989,0.20689655172413793
2020,DAL,right,guard,46,-0.4585837099863136,0.13043478260869565
2020,DAL,right,tackle,60,0.7773329824209211,0.21666666666666667
2020,DEN,left,end,39,0.6009778456810195,0.20512820512820512
2020,DEN,left,guard,46,-0.27849699556827545,0.1956521739130435
2020,DEN,left,tackle,56,-0.3881159637655528,0.2857142857142857
2020,DEN,middle,guard,92,0.13454500423825297,0.22826086956521738
2020,DEN,right,end,37,0.12635868304484624,0.16216216216216217
2020,DEN,right,guard,45,-1.6824809286329478,0.26666666666666666
2020,DEN,right,tackle,55,1.7230598688125611,0.10909090909090909
2020,DET,left,end,41,-0.28662390825225054,0.21951219512195122
2020,DET,left,guard,24,0.49490912879506754,0.08333333333333333
2020,DET,left,tackle,55,-0.5057632592591376,0.10909090909090909
2020,DET,middle,guard,116,0.6888793406301535,0.13793103448275862
2020,DET,right,end,26,-0.934173711217367,0.3076923076923077
2020,DET,right,guard,15,-0.806991155942281,0.2
2020,DET,right,tackle,46,-0.8994377683038294,0.2391304347826087
2020,GB,left,end,43,1.5298682867094533,0.16279069767441862
2020,GB,left,guard,51,0.7442202147315531,0.11764705882352941
2020,GB,left,tackle,62,-0.030252075964404504,0.0967741935483871
2020,GB,middle,guard,118,1.6094206081608589,0.1440677966101695
2020,GB,right,end,44,-0.6022379398345947,0.1590909090909091
2020,GB,right,guard,58,-0.4026120752096176,0.1206896551724138
2020,GB,right,tackle,56,1.1080712037427083,0.14285714285714285
2020,HOU,left,end,18,-1.4072785377502441,0.16666666666666666
2020,HOU,left,guard,32,-0.16182583570480347,0.0625
2020,HOU,left,tackle,27,0.6309083302815756,0.14814814814814814
2020,HOU,middle,guard,81,0.3370530031345498,0.14814814814814814
2020,HOU,right,guard,52,-0.5186512023210526,0.09615384615384616
2020,HOU,right,tackle,30,-2.718903678655624,0.3
2020,IND,left,end,56,0.9775169406618403,0.16071428571428573
2020,IND,left,guard,60,0.26250433425108705,0.21666666666666667
2020,IND,left,tackle,39,1.6082937083183177,0.2564102564102564
2020,IND,middle,guard,141,0.43267009000406237,0.15602836879432624
2020,IND,right,end,46,-0.5003038385640025,0.2391304347826087
2020,IND,right,guard,56,-0.9898284173437532,0.17857142857142858
2020,IND,right,tackle,41,1.14073022691215,0.17073170731707318
2020,JAX,left,end,33,0.8411554134253302,0.15151515151515152
2020,JAX,left,guard,30,0.07669973373413086,0.06666666666666667
2020,JAX,left,tackle,20,1.1513850212097168,0.1
2020,JAX,middle,guard,130,0.10465732262684616,0.14615384615384616
2020,JAX,right,end,32,-1.4632362946867943,0.375
2020,JAX,right,guard,23,-0.3286713750466057,0.13043478260869565
2020,KC,left,end,51,-0.594009549010034,0.17647058823529413
2020,KC,left,guard,59,1.0472098851608014,0.11864406779661017
2020,KC,left,tackle,26,-1.7229461119725156,0.34615384615384615
2020,KC,middle,guard,70,-0.09151988284928503,0.21428571428571427
2020,KC,right,end,57,-0.2065998885715218,0.17543859649122806
2020,KC,right,guard,77,-0.8046275586276859,0.11688311688311688
2020,KC,right,tackle,21,1.1059819743746804,0.09523809523809523
2020,LA,left,end,47,-0.32266658671358817,0.2127659574468085
