season,posteam,carries,yoe_per_carry,stuff_rate
2020,ARI,338,-0.11307315113981938,0.1863905325443787
2020,ATL,366,-0.3107151806843074,0.16939890710382513
2020,BAL,401,0.51600330748463,0.14463840399002495
2020,BUF,318,0.05533114169378717,0.16981132075471697
2020,CAR,293,-0.1787649832487922,0.16040955631399317
2020,CHI,284,-0.004755628885516682,0.2007042253521127
2020,CIN,332,-0.35325761740825373,0.18674698795180722
2020,CLE,477,0.624363880112487,0.19077568134171907
2020,DAL,353,-0.08603459301143505,0.18696883852691218
2020,DEN,372,0.06721194320788988,0.21505376344086022
2020,DET,323,-0.07909677419869214,0.17027863777089783
2020,GB,432,0.703651824138229,0.13425925925925927
2020,HOU,252,-0.305355512906636,0.15079365079365079
2020,IND,439,0.37026587108273634,0.1867881548974943
2020,JAX,282,0.0825137485426365,0.1524822695035461
2020,KC,361,-0.19451243403545668,0.16897506925207756
2020,LA,439,0.16867028692724492,0.17995444191343962
2020,LAC,391,-0.3248998082202414,0.18925831202046037
2020,LV,397,-0.05191828704601003,0.17380352644836272
2020,MIA,348,-0.1547518123326634,0.1810344827586207
2020,MIN,435,0.7670052941503187,0.1471264367816092
2020,NE,341,0.44141405715970305,0.1378299120234604
2020,NO,420,0.37813808690933975,0.13333333333333333
2020,NYG,310,-0.1513650936465121,0.16774193548387098
2020,NYJ,356,-0.3606849794977166,0.15168539325842698
2020,PHI,282,0.3796024434532687,0.17375886524822695
2020,PIT,337,-0.43256659023132304,0.18694362017804153
2020,SEA,337,-0.11389551716317721,0.16913946587537093
2020,SF,396,0.07759424630138513,0.20707070707070707
2020,TB,430,0.30479478129120796,0.12790697674418605
2020,TEN,485,0.6007484002826148,0.15876288659793814
2020,WAS,366,-0.22430198545989988,0.15846994535519127
2021,ARI,377,-0.11714287343328836,0.16445623342175067
2021,ATL,349,-0.3629401198943231,0.1833810888252149
2021,BAL,323,-0.24128139517255776,0.16408668730650156
2021,BUF,340,-0.13283587624045018,0.15588235294117647
2021,CAR,337,-0.4705603623248701,0.20771513353115728
2021,CHI,369,-0.21426086640616437,0.2086720867208672
2021,CIN,453,-0.19256672736824734,0.15894039735099338
2021,CLE,421,0.9483247287482952,0.14726840855106887
2021,DAL,424,0.23706293921425511,0.14150943396226415
2021,DEN,413,0.2685674942001592,0.17675544794188863
2021,DET,395,-0.013145068815991773,0.18734177215189873
2021,GB,410,0.11256453373083233,0.13170731707317074
2021,HOU,377,-1.0764886010388801,0.1830238726790451
2021,IND,429,1.0192127161787379,0.19114219114219114
2021,JAX,297,-0.0334352483653047,0.16161616161616163
2021,KC,387,-0.06989957850416738,0.14470284237726097
2021,LA,470,-0.3758491483774615,0.20638297872340425
2021,LAC,349,0.11296446548833564,0.166189111747851
2021,LV,360,-0.004961172988016507,0.16111111111111112
2021,MIA,370,-0.618624311000914,0.1810810810810811
2021,MIN,414,0.06768225388970446,0.23429951690821257
2021,NE,426,0.343291773552626,0.1807511737089202
2021,NO,376,-0.7230629366129008,0.19148936170212766
2021,NYG,333,-0.4156985648938482,0.1891891891891892
2021,NYJ,327,0.0589146420860856,0.18042813455657492
2021,PHI,402,0.5547308892530594,0.1318407960199005
2021,PIT,377,-0.5796631542219712,0.1724137931034483
2021,SEA,346,0.6668940257991673,0.17341040462427745
2021,SF,414,-0.17916241194602942,0.17632850241545894
2021,TB,381,0.013444598343742635,0.15485564304461943
2021,TEN,509,0.07497388525538441,0.17485265225933203
2021,WAS,398,-0.2005419883895769,0.15326633165829145
2022,ARI,317,-0.1961440085800663,0.1640378548895899
2022,ATL,454,0.48286964357030576,0.14977973568281938
2022,BAL,369,0.44769418110369325,0.18157181571815717
2022,BUF,324,0.38636964191625117,0.1728395061728395
2022,CAR,418,0.37496159450289124,0.16507177033492823
2022,CHI,368,0.13677063835380013,0.14402173913043478
2022,CIN,365,-0.17719785905864177,0.15616438356164383
2022,CLE,439,0.25586071820900236,0.2072892938496583
2022,DAL,506,0.01836708052592248,0.17786561264822134
2022,DEN,365,-0.05703743786027995,0.17534246575342466
2022,DET,430,0.3456283014527577,0.1813953488372093
2022,GB,409,0.19179055429903977,0.13691931540342298
2022,HOU,333,-0.4011305529434066,0.1921921921921922
2022,IND,367,0.020898855836905008,0.16348773841961853
2022,JAX,394,0.6193718678001218,0.2233502538071066
2022,KC,377,0.03213970438238804,0.16180371352785147
2022,LA,250,-0.17668278813362215,0.196
2022,LAC,328,-0.16755019682573194,0.20121951219512196
2022,LV,379,0.5212679400764871,0.1503957783641161
2022,MIA,350,0.08938992832388157,0.17142857142857143
2022,MIN,372,-0.07159075020782488,0.23387096774193547
2022,NE,354,0.43149695103451324,0.18361581920903955
2022,NO,331,-0.4786895473017792,0.16314199395770393
2022,NYG,406,0.20788781491700037,0.17980295566502463
2022,NYJ,338,-0.11406483858294701,0.21597633136094674
2022,PHI,452,0.22731764179415417,0.16371681415929204
2022,PIT,384,-0.08228122838772833,0.1484375
2022,SEA,371,0.4471162262791897,0.21293800539083557
2022,SF,458,0.6322664897644875,0.18995633187772926
2022,TB,356,-0.6485359870483371,0.18820224719101122
2022,TEN,410,0.04012464015949091,0.17073170731707318
2022,WAS,433,-0.40583551735305284,0.13625866050808313
2023,ARI,341,0.43893877336007203,0.2316715542521994
2023,ATL,451,-0.40733651919269837,0.19068736141906872
2023,BAL,402,0.3038796573432512,0.15671641791044777
2023,BUF,432,0.07111709682201749,0.13425925925925927
2023,CAR,382,-0.5792311650764257,0.19895287958115182
2023,CHI,361,-0.1659607945882059,0.16620498614958448
2023,CIN,318,-0.1655252376255,0.16666666666666666
2023,CLE,450,-0.4488488555285663,0.23555555555555555
2023,DAL,389,-0.4417720185760362,0.17737789203084833
2023,DEN,356,-0.2818919514002439,0.19662921348314608
2023,DET,518,0.5897597308094428,0.15057915057915058
2023,GB,422,0.004321729614268614,0.15402843601895735
2023,HOU,406,-0.5748122192809146,0.21182266009852216
2023,IND,416,0.10240749355692015,0.18990384615384615
2023,JAX,360,-0.8349568176600671,0.25
2023,KC,411,-0.2631719886821556,0.18248175182481752
2023,LA,431,0.07294899149173485,0.16473317865429235
2023,LAC,327,-0.8131002658004075,0.17737003058103976
2023,LV,357,-0.32469322943553847,0.18207282913165265
2023,MIA,412,1.0101545751818155,0.16747572815533981
2023,MIN,326,-0.22828622025214793,0.1901840490797546
2023,NE,356,-0.6007217075047859,0.19662921348314608
2023,NO,352,-0.6327149741859602,0.19318181818181818
2023,NYG,331,-0.643391572366669,0.23564954682779457
2023,NYJ,323,-0.2831854399512799,0.23219814241486067
2023,PHI,359,-0.08836001556231854,0.15041782729805014
2023,PIT,425,0.17597657021354304,0.18352941176470589
2023,SEA,337,-0.05642538157344274,0.19881305637982197
2023,SF,465,0.6256772621344493,0.14838709677419354
2023,TB,398,-0.7572484428259602,0.1507537688442211
2023,TEN,383,0.04134264549449632,0.1618798955613577
2023,WAS,299,-0.042467859776123364,0.1605351170568562
2024,ARI,374,0.6774998807652113,0.16844919786096257
2024,ATL,456,0.3312747562794311,0.15350877192982457
2024,BAL,451,1.1600529770232622,0.15964523281596452
2024,BUF,444,0.46694562171359383,0.16891891891891891
2024,CAR,344,0.40795486862229713,0.15406976744186046
2024,CHI,327,-0.6507447415717894,0.1834862385321101
2024,CIN,332,-0.14883963018655777,0.14759036144578314
2024,CLE,308,-0.16902187863340662,0.21428571428571427
2024,DAL,346,-0.12059920444826036,0.12716763005780346
2024,DEN,361,-0.16462091214108548,0.1745152354570637
