"game_id","play_id","desc","rusher_player_id","full_name","posteam","two_point_attempt","two_point_converted","rush_attempt","first_down_rush","fumble_lost","season","week","rushing_yards","rush_touchdown","first_down","posteam_type","run_location","run_gap","run_gap_dir","surface","wind","temp","roof","position","yardline_100","half_seconds_remaining","game_seconds_remaining","fixed_drive","era","xpass","qtr","down","goal_to_go","ydstogo","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","ep","vegas_wp","implied_total","rushing_yards_exp","rushing_td_exp","rushing_fd_exp","two_point_conv_exp","rush_yards_exp","rush_touchdown_exp","rush_first_down_exp"
"2020_01_ARI_SF",93,"(14:42) (Shotgun) 31-R.Mostert right tackle to ARI 41 for 14 yards (34-J.Thompson).","00-0031687","Raheem Mostert","SF",0,0,1,1,0,2020,1,14,"0","1","home","right","tackle","right_tackle","grass",6,66,"outdoors","RB",55,1782,3582,1,"post2018",0.413357317447662,"1","1","0",10,"1","0","0","0",0,2.7689356491901,0.735063195228577,20.75,5.3324933052063,0.00804730411618948,0.2061957269907,0,5.3324933052063,0.00804730411618948,0.2061957269907
"2020_01_ARI_SF",118,"(13:59) 31-R.Mostert left end to ARI 39 for 2 yards (48-I.Simmons).","00-0031687","Raheem Mostert","SF",0,0,1,0,0,2020,1,2,"0","0","home","left","end","left_end","grass",6,66,"outdoors","RB",41,1739,3539,1,"post2018",0.446920245885849,"1","1","0",10,"0","0","0","0",0,3.62614994985051,0.776665449142456,20.75,5.10225868225098,0.0122604491189122,0.198090270161629,0,5.10225868225098,0.0122604491189122,0.198090270161629
"2020_01_ARI_SF",143,"(13:21) (Shotgun) 31-R.Mostert right end to ARI 45 for -6 yards (58-J.Hicks).","00-0031687","Raheem Mostert","SF",0,0,1,0,0,2020,1,-6,"0","0","home","right","end","right_end","grass",6,66,"outdoors","RB",39,1701,3501,1,"post2018",0.681858122348785,"1","2","0",8,"1","0","0","0",0,3.17148513044231,0.780528247356415,20.75,5.32512092590332,0.0105836931616068,0.305737853050232,0,5.32512092590332,0.0105836931616068,0.305737853050232
"2020_01_ARI_SF",628,"(7:56) 31-R.Mostert left tackle to SF 36 for no gain (98-C.Peters).","00-0031687","Raheem Mostert","SF",0,0,1,0,0,2020,1,0,"0","0","home","left","tackle","left_tackle","grass",6,66,"outdoors","RB",64,1376,3176,5,"post2018",0.538919031620026,"1","2","0",5,"0","0","0","0",10,1.87637109868228,0.89559656381607,20.75,4.73666524887085,0.00235257134772837,0.335830837488174,0,4.73666524887085,0.00235257134772837,0.335830837488174
"2020_01_ARI_SF",873,"(5:17) (Shotgun) 41-K.Drake up the middle to ARI 24 for 2 yards (54-F.Warner).","00-0033118","Kenyan Drake","ARI",0,0,1,0,0,2020,1,2,"0","0","away","middle","guard","middle_guard","grass",6,66,"outdoors","RB",78,1217,3017,8,"post2018",0.475232273340225,"1","1","0",10,"1","0","0","0",-3,0.47661962825805,0.277741193771362,20.75,4.17672634124756,0.000828029471449554,0.0726498439908028,0,4.17672634124756,0.000828029471449554,0.0726498439908028
"2020_01_ARI_SF",956,"(4:29) (No Huddle, Shotgun) 1-K.Murray scrambles right end ran ob at ARI 23 for 1 yard (33-T.Moore).","00-0035228","Kyler Murray","ARI",0,0,1,0,0,2020,1,1,"0","0","away","right","end","right_end","grass",6,66,"outdoors","QB",78,1169,2969,8,"post2018",0.976967573165894,"1","3","0",10,"1","1","1","1",-3,-0.843282054644078,0.225416973233223,20.75,9.38174057006836,0.00222271517850459,0.473650217056274,0,9.38174057006836,0.00222271517850459,0.473650217056274
"2020_01_ARI_SF",1011,"(4:01) (Shotgun) 31-R.Mostert right tackle to SF 47 for 9 yards (32-B.Baker).","00-0031687","Raheem Mostert","SF",0,0,1,0,0,2020,1,9,"0","0","home","right","tackle","right_tackle","grass",6,66,"outdoors","RB",62,1141,2941,9,"post2018",0.507277011871338,"1","1","0",10,"1","0","0","0",3,2.19844020414166,0.803106486797333,20.75,5.08630657196045,0.00418433779850602,0.148274093866348,0,5.08630657196045,0.00418433779850602,0.148274093866348
"2020_01_ARI_SF",1032,"(3:19) 44-K.Juszczyk up the middle to ARI 46 for 7 yards (32-B.Baker).","00-0029892","Kyle Juszczyk","SF",0,0,1,1,0,2020,1,7,"0","1","home","middle","guard","middle_guard","grass",6,66,"outdoors","RB",53,1099,2899,9,"post2018",0.226501688361168,"1","2","0",1,"0","0","0","0",3,3.0360833753366,0.802661240100861,20.75,3.91694188117981,0.0032069266308099,0.855940997600555,0,3.91694188117981,0.0032069266308099,0.855940997600555
"2020_01_ARI_SF",1118,"(1:14) 31-R.Mostert left tackle to ARI 19 for 3 yards (59-D.Campbell).","00-0031687","Raheem Mostert","SF",0,0,1,0,0,2020,1,3,"0","0","home","left","tackle","left_tackle","grass",6,66,"outdoors","RB",22,974,2774,9,"post2018",0.453087568283081,"1","1","0",10,"0","0","0","0",3,4.75660655344836,0.831228792667389,20.75,4.46368360519409,0.0334275811910629,0.179500833153725,0,4.46368360519409,0.0334275811910629,0.179500833153725
"2020_01_ARI_SF",1144,"(:34) 85-G.Kittle left end to ARI 10 for 9 yards (32-B.Baker).","00-0033288","George Kittle","SF",0,0,1,1,0,2020,1,9,"0","1","home","left","end","left_end","grass",6,66,"outdoors","TE",19,934,2734,9,"post2018",0.709623694419861,"1","2","0",7,"0","0","0","0",3,4.41467707790434,0.814340054988861,20.75,5.87031888961792,0.0886047035455704,0.509305834770203,0,5.87031888961792,0.0886047035455704,0.509305834770203
