season,receiver_player_id,receiver_full_name,receiver_position,targets,ep_per_target
2020,00-0034383,Dalton Schultz,TE,89,2.364327164630084
2020,00-0034411,Russell Gage,WR,109,1.9657662260888675
2020,00-0034419,Braxton Berrios,WR,55,1.7709787283960563
2020,00-0034521,Allen Lazard,WR,46,2.1626071824246775
2020,00-0034676,James Washington,WR,56,2.0564004299927285
2020,00-0034681,Chase Edmonds,RB,67,2.3179929028604
2020,00-0034753,Mark Andrews,TE,88,2.0683862689395687
2020,00-0034764,Michael Gallup,WR,105,2.1458445688141397
2020,00-0034765,Tre'Quan Smith,WR,50,2.0436391565890517
2020,00-0034766,Christopher Herndon,TE,46,1.8443339221921609
2020,00-0034775,Christian Kirk,WR,79,2.177925023698628
2020,00-0034777,D.J. Chark,WR,94,1.8001146694458576
2020,00-0034816,Ronald Jones,RB,42,2.0159443340685574
2020,00-0034827,D.J. Moore,WR,118,1.9601137775573112
2020,00-0034829,Mike Gesicki,TE,85,2.2117799023128635
2020,00-0034830,Hayden Hurst,TE,89,2.2611098764413557
2020,00-0034837,Calvin Ridley,WR,145,2.1804937515809213
2020,00-0034960,Jakobi Meyers,WR,82,1.7516304428198304
2020,00-0034970,Irv Smith,TE,44,2.372496076882351
2020,00-0034983,Hunter Renfrow,WR,77,1.9211277857996591
2020,00-0035140,Mecole Hardman,WR,63,2.1064562551662886
2020,00-0035216,Diontae Johnson,WR,144,1.7126897444771507
2020,00-0035229,T.J. Hockenson,TE,102,2.214446448935132
2020,00-0035243,Miles Sanders,RB,52,1.647390447714805
2020,00-0035250,Devin Singletary,RB,50,2.6228784632193856
2020,00-0035261,Tony Pollard,RB,40,2.1829310232482384
2020,00-0035298,Scott Miller,WR,53,1.7393675079483555
2020,00-0035311,Myles Gaskin,RB,47,1.9097605287078818
2020,00-0035414,Jalen Guyton,WR,55,1.7772754077333959
2020,00-0035535,Darius Slayton,WR,96,1.8163434522690902
2020,00-0035592,Travis Fulgham,WR,67,1.9203599515004401
2020,00-0035624,N'Keal Harry,WR,57,2.1349564460616786
2020,00-0035631,Drew Sample,TE,53,1.9481667109483958
2020,00-0035640,DK Metcalf,WR,129,2.021002897681613
2020,00-0035644,Noah Fant,TE,94,1.718088671238875
2020,00-0035659,Terry McLaurin,WR,135,1.9256441815438265
2020,00-0035662,Marquise Brown,WR,100,1.9079707985336425
2020,00-0035676,A.J. Brown,WR,106,1.9185437643233325
2020,00-0035685,David Montgomery,RB,68,2.1583532014016837
2020,00-0035689,Dawson Knox,TE,44,2.550978934795818
2020,00-0035700,Josh Jacobs,RB,45,2.2087211242437155
2020,00-0035719,Deebo Samuel,WR,44,1.8203189172318988
2020,00-0035831,James Robinson,RB,62,1.986808175859019
2020,00-0036196,Gabriel Davis,WR,62,2.5675757866129354
2020,00-0036252,Michael Pittman,WR,61,2.269361619011224
2020,00-0036255,Denzel Mims,WR,45,1.719909009996139
2020,00-0036261,Brandon Aiyuk,WR,96,2.1246851096196524
2020,00-0036268,Laviska Shenault,WR,79,1.7116217040324206
2020,00-0036275,D'Andre Swift,RB,57,2.1726984464820767
2020,00-0036290,Cole Kmet,TE,45,2.307994300805146
2020,00-0036309,Darnell Mooney,WR,99,1.9607696919115492
2020,00-0036322,Justin Jefferson,WR,128,2.0297220673852485
2020,00-0036326,Chase Claypool,WR,112,2.1939799498973733
2020,00-0036328,Antonio Gibson,RB,44,2.0990736354314405
2020,00-0036357,Henry Ruggs,WR,43,1.8483404407919342
2020,00-0036358,CeeDee Lamb,WR,111,1.9630267751242685
2020,00-0036360,Clyde Edwards-Helaire,RB,54,2.0941583748413164
2020,00-0036387,Jalen Reagor,WR,55,1.8340758666668637
2020,00-0036407,Jerry Jeudy,WR,115,1.4110337275801634
2020,00-0036410,Tee Higgins,WR,108,1.6583909639135797
2020,00-0036412,K.J. Hamler,WR,56,1.4347940194909046
2021,00-0027061,Jared Cook,TE,85,2.1381781054434668
2021,00-0027656,Rob Gronkowski,TE,89,2.2239075667611354
2021,00-0027685,Emmanuel Sanders,WR,73,2.2103995309533833
2021,00-0027942,A.J. Green,WR,93,2.081192500466982
2021,00-0027944,Julio Jones,WR,48,2.079531084812212
