season,receiver_player_id,receiver_full_name,receiver_position,posteam,receptions,yac,yac_exp,yac_oe_total,yac_oe_per_rec
2020,00-0032211,Tyler Lockett,WR,SEA,100,62.40416546165943,445.3083151951432,-382.9041497334838,-3.8290414973348375
2020,00-0032241,Todd Gurley,RB,ATL,25,16.824192106723785,192.4919581413269,-175.66776603460312,-7.026710641384125
2020,00-0032257,Duke Johnson,RB,HOU,28,19.97617557644844,205.39096307754517,-185.41478750109673,-6.62195669646774
2020,00-0032385,Sterling Shepard,WR,NYG,66,45.5291543006897,276.3943094611168,-230.8651551604271,-3.4979568963701073
2020,00-0032392,Austin Hooper,TE,CLE,46,31.347000613808632,240.90032368153334,-209.5533230677247,-4.5555070232114065
2020,00-0032602,J.D. McKissic,RB,WAS,80,63.550397261977196,543.6347791552544,-480.08438189327717,-6.001054773665965
2020,00-0032688,Robby Anderson,WR,CAR,95,66.25434759259224,448.8268630504608,-382.5725154578686,-4.027079110082827
2020,00-0032765,Michael Thomas,WR,NO,40,26.861995935440063,171.97747147083282,-145.11547553539276,-3.627886888384819
2020,00-0032775,Demarcus Robinson,WR,KC,45,28.53104493021965,206.5353331565857,-178.00428822636604,-3.955650849474801
2020,00-0032791,Jakeem Grant,WR,MIA,36,24.51412534713745,174.06320530548692,-149.54907995834947,-4.154141109954152
2020,00-0032977,Rashard Higgins,WR,CLE,37,25.872608423233032,128.37510571139865,-102.50249728816561,-2.7703377645450167
2020,00-0033009,Tyler Boyd,WR,CIN,79,57.51685842871666,347.7626603767276,-290.2458019480109,-3.6739974930127968
2020,00-0033040,Tyreek Hill,WR,KC,87,54.145195327699184,411.48511987924576,-357.3399245515466,-4.107355454615478
2020,00-0033045,Ezekiel Elliott,RB,DAL,52,37.62875375151634,409.72133111953735,-372.092577368021,-7.155626487846558
2020,00-0033090,Hunter Henry,TE,LAC,60,45.284117579460144,281.52195394877344,-236.2378363693133,-3.9372972728218882
2020,00-0033110,Tyler Higbee,TE,LA,44,29.28368216753006,195.46142827812582,-166.17774611059576,-3.776766957058995
2020,00-0033118,Kenyan Drake,RB,ARI,25,15.997750878334045,215.0197138786316,-199.02196300029755,-7.960878520011902
2020,00-0033127,Will Fuller,WR,HOU,53,36.43149895966053,223.11064872145653,-186.679149761796,-3.522248108713132
2020,00-0033217,Mo Alie-Cox,TE,IND,31,20.920166477560997,154.97853082418442,-134.05836434662342,-4.32446336602011
2020,00-0033251,Zach Pascal,WR,IND,44,30.790729492902756,209.03881442546844,-178.2480849325657,-4.0510928393764924
2020,00-0033282,Curtis Samuel,WR,CAR,77,57.602774530649185,404.082621127367,-346.47984659671783,-4.499738267489842
2020,00-0033288,George Kittle,TE,SF,48,33.734339118003845,251.69507034122944,-217.9607312232256,-4.540848567150533
2020,00-0033293,Aaron Jones,RB,GB,47,29.131816029548645,419.0700169801712,-389.93820095062256,-8.296557467034521
2020,00-0033307,Kendrick Bourne,WR,SF,49,40.46585485339165,183.95241502672434,-143.4865601733327,-2.9282971463945446
2020,00-0033375,Tim Patrick,WR,DEN,51,36.83432450890541,200.64311355352402,-163.8087890446186,-3.211937040090561
2020,00-0033387,Jacob Hollister,TE,SEA,25,16.19176359474659,124.76055824011564,-108.56879464536905,-4.342751785814762
2020,00-0033455,Anthony Firkser,TE,TEN,39,32.102857023477554,184.27228526771069,-152.16942824423313,-3.901780211390593
2020,00-0033466,Isaiah McKenzie,WR,BUF,30,17.303197249770164,185.31455236673355,-168.0113551169634,-5.60037850389878
2020,00-0033471,Isaiah Ford,WR,MIA,28,21.227757796645164,116.47996735572815,-95.25220955908298,-3.4018646271101067
2020,00-0033536,Mike Williams,WR,LAC,48,37.12563559412956,185.70392076624557,-148.578285172116,-3.0953809410857502
2020,00-0033553,James Conner,RB,PIT,35,23.1954864859581,271.051833152771,-247.8563466668129,-7.081609904766083
2020,00-0033567,Brian Hill,RB,ATL,25,16.79323235154152,177.75839805603027,-160.96516570448875,-6.43860662817955
2020,00-0033589,David Moore,WR,SEA,35,20.34669618308544,197.77550274133682,-177.42880655825138,-5.069394473092896
2020,00-0033594,Chris Carson,RB,SEA,37,21.231014162302017,286.0233895778656,-264.7923754155636,-7.156550686907124
2020,00-0033681,Keelan Cole,WR,JAX,55,41.4197718501091,218.20371168106794,-176.78393983095884,-3.214253451471979
2020,00-0033699,Austin Ekeler,RB,LAC,54,40.590016424655914,443.5819721221924,-402.99195569753647,-7.462813994398823
2020,00-0033733,Greg Ward,WR,PHI,53,37.25133366882801,254.597968862392,-217.346635193564,-4.100879909312528
2020,00-0033757,Robert Tonyan,TE,GB,52,33.016143426299095,254.26204854249954,-221.24590511620045,-4.254728944542316
2020,00-0033856,Leonard Fournette,RB,TB,36,25.87069946527481,266.57534992694855,-240.70465046167374,-6.686240290602048
2020,00-0033857,JuJu Smith-Schuster,WR,PIT,97,63.28803241252899,478.88928085472435,-415.60124844219536,-4.284548953012323
2020,00-0033858,Jonnu Smith,TE,TEN,41,26.813297137618065,191.25229561328888,-164.43899847567081,-4.01070727989441
2020,00-0033871,Corey Davis,WR,TEN,65,47.657585471868515,251.84375634789467,-204.18617087602615,-3.1413257057850177
2020,00-0033881,Evan Engram,TE,NYG,63,47.089436292648315,303.21345598995686,-256.12401969730854,-4.065460630116009
2020,00-0033893,Dalvin Cook,RB,MIN,44,33.56594169139862,420.91183614730835,-387.34589445590973,-8.803315783088857
2020,00-0033895,Gerald Everett,TE,LA,41,30.06230840086937,229.94128251075745,-199.87897410988808,-4.875096929509465
2020,00-0033906,Alvin Kamara,RB,NO,83,61.49207202345133,663.3831834793091,-601.8911114558578,-7.2517001380223824
2020,00-0033908,Cooper Kupp,WR,LA,92,64.38348537683487,457.8165794014931,-393.4330940246582,-4.276446674181067
2020,00-0033921,Chris Godwin,WR,TB,65,44.8443241417408,313.83727541565895,-268.99295127391815,-4.138353096521818
2020,00-0033923,Kareem Hunt,RB,CLE,38,28.721396774053574,287.6453429348767,-258.9239461608231,-6.813788056863767
2020,00-0033943,Josh Reynolds,WR,LA,52,34.45558723807335,236.77004632353783,-202.31445908546448,-3.890662674720471
2020,00-0033948,Jamaal Williams,RB,GB,31,21.834090277552605,239.34613871574402,-217.5120484381914,-7.0165176915545615
2020,00-0034011,Dan Arnold,TE,ARI,31,20.879078179597855,138.69594298303127,-117.81686480343342,-3.8005440259172074
2020,00-0034104,Cam Sims,WR,WAS,32,24.58635523915291,147.369853079319,-122.78349784016609,-3.8369843075051904
2020,00-0034272,Marquez Valdes-Scantling,WR,GB,33,22.30726647377014,162.0260427892208,-139.71877631545067,-4.233902312589414
2020,00-0034351,Dallas Goedert,TE,PHI,46,30.655072778463364,209.17868268862367,-178.5236099101603,-3.8809480415252238
2020,00-0034353,Anthony Miller,WR,CHI,49,38.22983440756798,211.4546717107296,-173.22483730316162,-3.535200761289013
2020,00-0034364,Jordan Akins,TE,HOU,37,28.586385309696198,165.63451428711414,-137.04812897741795,-3.704003485876161
2020,00-0034366,Keke Coutee,WR,HOU,33,23.454603761434555,137.76278614997864,-114.30818238854408,-3.4638843148043663
2020,00-0034367,Nyheim Hines,RB,IND,63,48.28260177373886,475.82085061073303,-427.53824883699417,-6.786321410111019
2020,00-0034383,Dalton Schultz,TE,DAL,63,43.94635300338268,274.5410472303629,-230.5946942269802,-3.6602332416980987
2020,00-0034411,Russell Gage,WR,ATL,72,55.1102235019207,319.98533609323204,-264.87511259131134,-3.6788210082126573
2020,00-0034414,Boston Scott,RB,PHI,25,19.98743599653244,176.2115693986416,-156.22413340210915,-6.248965336084366
2020,00-0034419,Braxton Berrios,WR,NYJ,37,27.13514432311058,176.8217033445835,-149.68655902147293,-4.045582676256025
2020,00-0034521,Allen Lazard,WR,GB,33,20.856767237186432,156.83056794852018,-135.97380071133375,-4.12041820337375
2020,00-0034676,James Washington,WR,PIT,30,19.354716047644615,127.9648377597332,-108.61012171208858,-3.6203373904029528
2020,00-0034681,Chase Edmonds,RB,ARI,53,40.158910900354385,361.6479156911373,-321.48900479078293,-6.065830279071376
2020,00-0034753,Mark Andrews,TE,BAL,58,44.214633263647556,225.4727251343429,-181.25809187069535,-3.1251395150119885
2020,00-0034764,Michael Gallup,WR,DAL,59,43.375291496515274,244.55883977981284,-201.18354828329757,-3.4098906488694505
2020,00-0034765,Tre'Quan Smith,WR,NO,34,25.574622109532356,142.89151446521282,-117.31689235568047,-3.450496833990602
2020,00-0034766,Christopher Herndon,TE,NYJ,31,21.36688320338726,152.22052800655365,-130.8536448031664,-4.221085316231174
2020,00-0034775,Christian Kirk,WR,ARI,48,33.86022174358368,211.74466793239117,-177.8844461888075,-3.7059259622668224
2020,00-0034777,D.J. Chark,WR,JAX,53,36.74300992488861,206.90445725992322,-170.1614473350346,-3.2105933459440488
2020,00-0034798,Durham Smythe,TE,MIA,26,14.673077762126923,118.93219327926636,-104.25911551713943,-4.00996598142844
2020,00-0034816,Ronald Jones,RB,TB,28,17.472059667110443,217.90171873569489,-200.42965906858444,-7.158202109592302
2020,00-0034827,D.J. Moore,WR,CAR,66,46.143749833106995,289.90052127838135,-243.75677144527435,-3.6932844158374905
2020,00-0034829,Mike Gesicki,TE,MIA,53,35.06335657835007,217.4885246604681,-182.42516808211803,-3.441984303436189
2020,00-0034830,Hayden Hurst,TE,ATL,56,33.48176550865173,300.54713347554207,-267.06536796689034,-4.7690244279801846
2020,00-0034837,Calvin Ridley,WR,ATL,90,63.767245173454285,347.1842603283003,-283.417015154846,-3.149077946164956
2020,00-0034928,Steven Sims,WR,WAS,27,20.594543889164925,118.68875247240067,-98.09420858323574,-3.6331188364161386
2020,00-0034960,Jakobi Meyers,WR,NE,59,42.48496535420418,249.4228494167328,-206.9378840625286,-3.5074217637716716
2020,00-0034970,Irv Smith,TE,MIN,30,21.06947213411331,120.76110002398491,-99.6916278898716,-3.32305426299572
2020,00-0034983,Hunter Renfrow,WR,LV,56,43.414602398872375,285.21124318242073,-241.79664078354836,-4.317797156849077
2020,00-0035140,Mecole Hardman,WR,KC,41,26.330575048923492,225.35958974063396,-199.02901469171047,-4.8543662119929385
2020,00-0035216,Diontae Johnson,WR,PIT,88,58.889962002635,426.0509136393666,-367.1609516367316,-4.172283541326495
2020,00-0035229,T.J. Hockenson,TE,DET,67,50.007689386606216,318.3194141983986,-268.3117248117924,-4.004652609131229
2020,00-0035243,Miles Sanders,RB,PHI,28,19.590074509382248,217.9458246231079,-198.35575011372566,-7.084133932633059
2020,00-0035250,Devin Singletary,RB,BUF,38,21.16853830218315,303.136842250824,-281.9683039486408,-7.420218524964232
2020,00-0035261,Tony Pollard,RB,DAL,28,19.431174404919147,233.4552149772644,-214.02404057234526,-7.643715734726617
2020,00-0035298,Scott Miller,WR,TB,33,23.874848127365112,144.82411994040012,-120.94927181303501,-3.6651294488798487
2020,00-0035311,Myles Gaskin,RB,MIA,41,27.09237189590931,327.5620095729828,-300.4696376770735,-7.328527748221305
2020,00-0035414,Jalen Guyton,WR,LAC,28,22.037482365965843,124.2438534796238,-102.20637111365795,-3.6502275397734985
2020,00-0035535,Darius Slayton,WR,NYG,50,34.995941519737244,190.95354706794024,-155.957605548203,-3.11915211096406
2020,00-0035592,Travis Fulgham,WR,PHI,38,29.625896871089935,130.70979897864163,-101.0839021075517,-2.660102687040834
2020,00-0035624,N'Keal Harry,WR,NE,33,24.948230057954788,141.66718216147274,-116.71895210351795,-3.5369379425308467
2020,00-0035631,Drew Sample,TE,CIN,40,28.08644849061966,208.63003134727478,-180.54358285665512,-4.513589571416378
2020,00-0035640,DK Metcalf,WR,SEA,83,54.685979187488556,370.2507328763604,-315.56475368887186,-3.8019849842032754
2020,00-0035644,Noah Fant,TE,DEN,62,47.23209768533707,308.0259597301483,-260.79386204481125,-4.206352613625988
2020,00-0035659,Terry McLaurin,WR,WAS,87,60.33087578415871,379.6340075433254,-319.3031317591667,-3.6701509397605365
2020,00-0035662,Marquise Brown,WR,BAL,58,40.897863268852234,255.6998520102352,-214.80198874138296,-3.7034825645066025
2020,00-0035676,A.J. Brown,WR,TEN,70,50.67405804991722,295.34218072891235,-244.66812267899513,-3.4952588954142163
2020,00-0035685,David Montgomery,RB,CHI,54,41.352451741695404,377.8961446285248,-336.5436928868294,-6.232290609015359
2020,00-0035700,Josh Jacobs,RB,LV,33,22.124768555164337,266.5220375061035,-244.39726895093918,-7.405977846998157
2020,00-0035719,Deebo Samuel,WR,SF,33,22.265762329101562,248.02375626564026,-225.7579939365387,-6.841151331410264
2020,00-0035831,James Robinson,RB,JAX,49,34.17462736368179,395.8832063674927,-361.7085790038109,-7.381807734771651
2020,00-0036142,Isaiah Wright,WR,WAS,27,18.629840299487114,149.82682156562805,-131.19698126614094,-4.8591474543015165
2020,00-0036196,Gabriel Davis,WR,BUF,35,22.24582803249359,130.60920489020646,-108.36337685771286,-3.096096481648939
2020,00-0036223,Jonathan Taylor,RB,IND,36,24.571938514709473,322.2461256980896,-297.6741871833801,-8.268727421760559
2020,00-0036252,Michael Pittman,WR,IND,40,28.498229652643204,188.92091631889343,-160.42268666625023,-4.010567166656256
2020,00-0036261,Brandon Aiyuk,WR,SF,60,41.573139533400536,294.87766087800264,-253.3045213446021,-4.2217420224100355
2020,00-0036268,Laviska Shenault,WR,JAX,58,43.3594790995121,286.564722687006,-243.2052435874939,-4.193193854956791
2020,00-0036275,D'Andre Swift,RB,DET,46,32.64529487490654,352.18539822101593,-319.5401033461094,-6.946523985784987
2020,00-0036290,Cole Kmet,TE,CHI,28,18.638554871082306,153.64495500922203,-135.00640013813972,-4.821657147790704
2020,00-0036309,Darnell Mooney,WR,CHI,61,40.2045027166605,300.56828704476357,-260.36378432810307,-4.268258759477099
2020,00-0036322,Justin Jefferson,WR,MIN,88,63.7253752052784,379.13499027490616,-315.40961506962776,-3.58420017124577
2020,00-0036326,Chase Claypool,WR,PIT,62,42.67229497432709,263.09233924746513,-220.42004427313805,-3.555162004405452
2020,00-0036328,Antonio Gibson,RB,WAS,36,21.65882696211338,297.2662181854248,-275.6073912233114,-7.655760867314206
2020,00-0036357,Henry Ruggs,WR,LV,26,18.43100544810295,123.46098482608795,-105.029979377985,-4.039614591460961
2020,00-0036358,CeeDee Lamb,WR,DAL,74,56.732766941189766,354.5851954892278,-297.852428548038,-4.025032818216729
2020,00-0036360,Clyde Edwards-Helaire,RB,KC,36,20.88287330418825,294.5416157245636,-273.65874242037535,-7.601631733899315
2020,00-0036364,Lynn Bowden,WR,MIA,28,18.983611971139908,146.13622784614563,-127.15261587500572,-4.541164852678776
2020,00-0036387,Jalen Reagor,WR,PHI,31,21.278187081217766,160.22685542702675,-138.94866834580898,-4.482215107929322
2020,00-0036407,Jerry Jeudy,WR,DEN,52,39.44061478972435,220.08347916603088,-180.64286437630653,-3.473901238005895
2020,00-0036410,Tee Higgins,WR,CIN,67,44.975810423493385,258.6572639942169,-213.68145357072353,-3.1892754264287095
2020,00-0036412,K.J. Hamler,WR,DEN,30,24.750461265444756,126.03353936970234,-101.28307810425758,-3.3761026034752524
2021,00-0027061,Jared Cook,TE,LAC,48,33.79402846097946,216.7400944828987,-182.94606602191925,-3.8113763754566508
2021,00-0027656,Rob Gronkowski,TE,TB,55,37.65380311012268,267.0480130761862,-229.3942099660635,-4.17080381756479
2021,00-0027685,Emmanuel Sanders,WR,BUF,42,27.64783525466919,160.4076355062425,-132.75980025157332,-3.16094762503746
2021,00-0027942,A.J. Green,WR,ARI,54,38.401103265583515,225.0849859714508,-186.6838827058673,-3.4571089389975422
2021,00-0027944,Julio Jones,WR,TEN,31,22.738152533769608,133.99945601820946,-111.26130348443985,-3.5890743059496724
2021,00-0027981,Kyle Rudolph,TE,NYG,26,16.02719447016716,132.8266666829586,-116.79947221279144,-4.492287392799671
2021,00-0028002,Randall Cobb,WR,GB,28,20.423028975725174,122.99996149167418,-102.57693251594901,-3.6634618755696073
2021,00-0029000,Cole Beasley,WR,BUF,82,56.50331987440586,393.14423890039325,-336.6409190259874,-4.105377061292529
2021,00-0029239,Brandon Bolden,RB,NE,41,34.95498737692833,321.6859543323517,-286.73096695542336,-6.99343821842496
2021,00-0029293,Marvin Jones,WR,JAX,73,52.84121695160866,250.6450113169849,-197.80379436537623,-2.709641018703784
2021,00-0029892,Kyle Juszczyk,RB,SF,30,20.77271904051304,175.70961141586304,-154.93689237535,-5.1645630791783335
2021,00-0030035,Adam Thielen,WR,MIN,67,48.56897561252117,290.06760839000344,-241.49863277748227,-3.604457205634064
2021,00-0030061,Zach Ertz,TE,ARI,56,39.657390743494034,274.94578498601913,-235.2883942425251,-4.201578468616519
2021,00-0030108,Ryan Griffin,TE,NYJ,27,19.340787053108215,121.15153416851535,-101.81074711540714,-3.770768411681746
2021,00-0030181,Jack Doyle,TE,IND,29,18.34863105416298,140.8512412905693,-122.50261023640633,-4.2242279391864255
2021,00-0030279,Keenan Allen,WR,LAC,106,77.22708711028099,456.90497817099094,-379.67789106070995,-3.5818668967991503
2021,00-0030288,Rex Burkhead,RB,HOU,25,19.919407039880753,165.92523288726807,-146.0058258473873,-5.840233033895492
2021,00-0030431,Robert Woods,WR,LA,45,31.104335844516754,204.35490782558918,-173.25057198107243,-3.8500127106904984
2021,00-0030506,Travis Kelce,TE,KC,92,60.05122543871403,443.7807301208377,-383.72950468212366,-4.170972876979605
2021,00-0030564,DeAndre Hopkins,WR,ARI,42,28.654534429311752,155.25199672207236,-126.59746229276061,-3.0142252926847766
2021,00-0030578,Cordarrelle Patterson,RB,ATL,52,34.18108247220516,375.8590531349182,-341.67797066271305,-6.5707302050521745
2021,00-0030669,Albert Wilson,WR,MIA,25,16.216931343078613,136.93036198616028,-120.71343064308167,-4.828537225723267
2021,00-0031235,Odell Beckham,WR,LA,27,20.80686929821968,107.87257001549006,-87.06570071727037,-3.224655582121125
2021,00-0031236,Brandin Cooks,WR,HOU,90,65.59601485729218,372.3790559321642,-306.783041074872,-3.4087004563874665
2021,00-0031273,Cameron Brate,TE,TB,30,19.516551345586777,121.2716162763536,-101.75506493076682,-3.3918354976922274
2021,00-0031285,Devonta Freeman,RB,BAL,34,26.469370186328888,233.1516420841217,-206.68227189779282,-6.078890349935083
2021,00-0031325,Sammy Watkins,WR,BAL,27,19.477642685174942,101.8400179296732,-82.36237524449825,-3.0504583423888243
2021,00-0031381,Davante Adams,WR,GB,123,79.24961216747761,543.8890539556742,-464.63944178819656,-3.777556437302411
2021,00-0031382,Jarvis Landry,WR,CLE,52,33.64087846875191,250.4549404680729,-216.81406199932098,-4.169501192294635
2021,00-0031408,Mike Evans,WR,TB,74,48.87241865694523,289.7772574312985,-240.90483877435327,-3.255470794248017
2021,00-0031428,Allen Robinson,WR,CHI,38,28.50072154402733,146.8842316865921,-118.38351014256477,-3.115355530067494
2021,00-0031544,Amari Cooper,WR,DAL,68,46.7601523399353,256.55519386730157,-209.79504152736627,-3.085221198931857
2021,00-0031547,DeVante Parker,WR,MIA,40,28.16050860285759,144.11813976615667,-115.95763116329908,-2.8989407790824773
2021,00-0031549,Nelson Agholor,WR,NE,37,24.485800355672836,145.31445598602295,-120.82865563035011,-3.265639341360814
2021,00-0031588,Stefon Diggs,WR,BUF,103,69.00523230433464,423.50702685303986,-354.5017945487052,-3.441764995618497
2021,00-0031610,Darren Waller,TE,LV,55,38.40040725469589,256.83397922851145,-218.43357197381556,-3.97151949043301
2021,00-0031868,Damiere Byrd,WR,CHI,26,20.353037774562836,96.54261326789856,-76.18957549333572,-2.93036828820522
2021,00-0031941,Jamison Crowder,WR,NYJ,51,36.497466176748276,189.96233266592026,-153.46486648917198,-3.0091150291994504
2021,00-0032009,Adam Humphries,WR,WAS,41,32.47587490081787,174.10086703300476,-141.6249921321869,-3.454268100785046
2021,00-0032063,Mike Davis,RB,ATL,44,33.514975637197495,370.2920551300049,-336.7770794928074,-7.654024533927441
2021,00-0032104,Ameer Abdullah,RB,CAR,35,26.758710116147995,252.12900495529175,-225.37029483914375,-6.439151281118393
2021,00-0032134,C.J. Uzomah,TE,CIN,49,34.25157396495342,247.41703486442566,-213.16546089947224,-4.350315528560658
2021,00-0032141,Geoff Swaim,TE,TEN,31,17.852303221821785,165.47978458553553,-147.62748136371374,-4.762176818184314
2021,00-0032144,Melvin Gordon,RB,DEN,28,21.614562064409256,192.29449725151062,-170.67993518710136,-6.095711970967906
2021,00-0032187,David Johnson,RB,HOU,32,24.147845536470413,229.70533633232117,-205.55749079585075,-6.423671587370336
2021,00-0032211,Tyler Lockett,WR,SEA,73,46.67948064208031,322.3634485336952,-275.6839678916149,-3.77649271084404
2021,00-0032355,Chester Rogers,WR,TEN,30,24.372366547584534,139.30173298716545,-114.92936643958092,-3.8309788813193637
2021,00-0032385,Sterling Shepard,WR,NYG,36,27.830922812223434,146.2453339099884,-118.41441109776497,-3.289289197160138
2021,00-0032392,Austin Hooper,TE,CLE,38,23.701278656721115,174.41312841884792,-150.7118497621268,-3.9661013095296527
2021,00-0032464,Kalif Raymond,WR,DET,48,35.844837352633476,219.22725269198418,-183.3824153393507,-3.8204669862364726
2021,00-0032602,J.D. McKissic,RB,WAS,43,33.769434332847595,327.22188663482666,-293.45245230197906,-6.824475634929746
2021,00-0032688,Robby Anderson,WR,CAR,53,37.463399320840836,227.43203508853912,-189.9686357676983,-3.5843138824094014
