"game_id","play_id","desc","passer_player_id","passer_full_name","passer_position","receiver_player_id","receiver_full_name","receiver_position","posteam","two_point_attempt","two_point_converted","pass_attempt","receiving_yards","first_down_pass","fumble_lost","season","week","complete_pass","yards_after_catch","pass_touchdown","first_down","interception","relative_to_endzone","wind","score_differential","xpass","vegas_wp","total_line","implied_total","relative_to_sticks","air_yards","yardline_100","half_seconds_remaining","game_seconds_remaining","ep","fixed_drive","ydstogo","temp","era","qb_hit","posteam_type","pass_location","surface","roof","qtr","down","goal_to_go","shotgun","no_huddle","pass_completion_exp","yards_after_catch_exp","yardline_exp","pass_touchdown_exp","pass_first_down_exp","pass_interception_exp","two_point_conv_exp"
"2020_01_ARI_SF",54,"(15:00) (Shotgun) 10-J.Garoppolo pass short right to 85-G.Kittle to SF 30 for 5 yards (48-I.Simmons). PENALTY on ARI-48-I.Simmons, Horse Collar Tackle, 15 yards, enforced at SF 30. Caught at SF29. 1-YAC","00-0031345","Jimmy Garoppolo","QB","00-0033288","George Kittle","TE","SF",0,0,1,5,0,0,2020,1,"1",0.51505845785141,"0","1","0",-71,6,0,0.51505845785141,0.737399458885193,48.5,20.75,-6,4,75,1800,3600,1.4740977678448,1,10,66,"post2018","0","home","right","grass","outdoors","1","1","0","1","0",0.808103799819946,4.04089498519897,66.959105014801,0.0017691901884973,0.151961177587509,0.00873127020895481,0
"2020_01_ARI_SF",165,"(12:39) (Shotgun) 10-J.Garoppolo pass short middle to 85-G.Kittle to ARI 34 for 11 yards (58-J.Hicks). Caught at AZ 48, 14-YAC","00-0031345","Jimmy Garoppolo","QB","00-0033288","George Kittle","TE","SF",0,0,1,11,0,0,2020,1,"1",0.971991777420044,"0","0","0",-35,6,0,0.971991777420044,0.705599546432495,48.5,20.75,-4,10,45,1659,3459,1.39082530350424,1,14,66,"post2018","0","home","middle","grass","outdoors","1","3","0","1","0",0.693892002105713,4.60589694976807,30.3941030502319,0.00947689078748226,0.205420896410942,0.0335056260228157,0
"2020_01_ARI_SF",245,"(11:50) (Shotgun) 1-K.Murray pass short left to 10-D.Hopkins to ARI 28 for 3 yards (41-E.Moseley).","00-0035228","Kyler Murray","QB","00-0030564","DeAndre Hopkins","WR","ARI",0,0,1,3,0,0,2020,1,"1",0.442755192518234,"0","0","0",-72,6,-3,0.442755192518234,0.249716579914093,48.5,20.75,-7,3,75,1610,3410,0.889285599812865,2,10,66,"post2018","0","away","left","grass","outdoors","1","1","0","1","0",0.795707285404205,3.84194684028625,68.1580531597137,0.00169488717801869,0.132596090435982,0.00829122215509415,0
"2020_01_ARI_SF",274,"(11:24) (No Huddle, Shotgun) 1-K.Murray pass short left to 11-L.Fitzgerald to ARI 35 for 7 yards (41-E.Moseley; 20-J.Ward). caught at AZ 34, 1 YAC","00-0035228","Kyler Murray","QB","00-0022921","Larry Fitzgerald","WR","ARI",0,0,1,7,1,0,2020,1,"1",0.597823977470398,"0","1","0",-66,6,-3,0.597823977470398,0.25475001335144,48.5,20.75,-1,6,72,1584,3384,0.475275085773319,2,7,66,"post2018","0","away","left","grass","outdoors","1","2","0","1","1",0.750464737415314,3.70101284980774,62.2989871501923,0.00198972946964204,0.457069337368011,0.0102846268564463,0
"2020_01_ARI_SF",298,"(11:00) (No Huddle, Shotgun) 1-K.Murray pass incomplete short left. PENALTY on ARI-1-K.Murray, Intentional Grounding, 10 yards, enforced at ARI 35.","00-0035228","Kyler Murray","QB",,,,"ARI",0,0,1,,0,0,2020,1,"0",0.45305985212326,"0","0","0",-65,6,-3,0.45305985212326,0.273257970809937,48.5,20.75,-10,0,65,1560,3360,1.4156846543774,2,10,66,"post2018","0","away","left","grass","outdoors","1","1","0","1","1",0.791833639144897,6.29715061187744,58.7028493881226,0.00117374176625162,0.152281627058983,0.00502606201916933,0
"2020_01_ARI_SF",320,"(10:58) (Shotgun) 1-K.Murray pass incomplete short right to 11-L.Fitzgerald (54-F.Warner).","00-0035228","Kyler Murray","QB","00-0022921","Larry Fitzgerald","WR","ARI",0,0,1,,0,0,2020,1,"0",0.68065881729126,"0","0","0",-71,6,-3,0.68065881729126,0.238417282700539,48.5,20.75,-16,4,75,1558,3358,-0.0615701195783913,2,20,66,"post2018","0","away","right","grass","outdoors","1","2","0","1","0",0.794925212860107,3.35760426521301,67.642395734787,0.00155017152428627,0.0251797903329134,0.00877158902585506,0
"2020_01_ARI_SF",372,"(10:55) (No Huddle, Shotgun) 1-K.Murray pass short right to 11-L.Fitzgerald to ARI 35 for 10 yards (29-J.Tartt). caught at 25R, 10 YAC","00-0035228","Kyler Murray","QB","00-0022921","Larry Fitzgerald","WR","ARI",0,0,1,10,0,0,2020,1,"1",0.85851401090622,"0","0","0",-75,6,-3,0.85851401090622,0.224027395248413,48.5,20.75,-20,0,75,1555,3355,-0.867421459406614,2,20,66,"post2018","0","away","right","grass","outdoors","1","3","0","1","1",0.8037269115448,6.72605228424072,68.2739477157593,0.00255406508222222,0.0259588267654181,0.00667355116456747,0
"2020_01_ARI_SF",431,"(10:05) (Shotgun) 10-J.Garoppolo pass short middle to 31-R.Mostert for 76 yards, TOUCHDOWN. Caught at SF 29, 71-YAC","00-0031345","Jimmy Garoppolo","QB","00-0031687","Raheem Mostert","RB","SF",0,0,1,76,1,0,2020,1,"1",0.491748631000519,"1","1","0",-71,6,3,0.491748631000519,0.767743229866028,48.5,20.75,-5,5,76,1505,3305,1.12213055929169,3,10,66,"post2018","0","home","middle","grass","outdoors","1","1","0","1","0",0.778471350669861,5.9675703048706,65.0324296951294,0.0030354734044522,0.274168580770493,0.0103597985580564,0
"2020_01_ARI_SF",491,"(9:53) (Shotgun) 1-K.Murray pass short left to 10-D.Hopkins to ARI 26 for 1 yard (25-R.Sherman). caught at ARI 21, 5 YAC","00-0035228","Kyler Murray","QB","00-0030564","DeAndre Hopkins","WR","ARI",0,0,1,1,0,0,2020,1,"1",0.477212429046631,"0","0","0",-79,6,-10,0.477212429046631,0.127005100250244,48.5,20.75,-14,-4,75,1493,3293,0.854033026844263,4,10,66,"post2018","0","away","left","grass","outdoors","1","1","0","1","0",0.8911492228508,9.04400634765625,69.9559936523438,0.00265559670515358,0.139614954590797,0.00714862532913685,0
"2020_01_ARI_SF",515,"(9:20) (No Huddle, Shotgun) 1-K.Murray pass short right to 41-K.Drake to ARI 28 for 2 yards (91-A.Armstead; 54-F.Warner). caught at ARI 20, 8 YAC","00-0035228","Kyler Murray","QB","00-0033118","Kenyan Drake","RB","ARI",0,0,1,2,0,0,2020,1,"1",0.677668511867523,"0","0","0",-80,6,-10,0.677668511867523,0.120184101164341,48.5,20.75,-15,-6,74,1460,3260,0.285304774995893,4,9,66,"post2018","0","away","right","grass","outdoors","1","2","0","1","1",0.866323530673981,11.1853275299072,68.8146724700928,0.00250819255597889,0.136357039213181,0.00562207540497184,0
"2020_01_ARI_SF",547,"(8:43) (No Huddle, Shotgun) 1-K.Murray pass incomplete deep right to 13-C.Kirk.","00-0035228","Kyler Murray","QB","00-0034775","Christian Kirk","WR","ARI",0,0,1,,0,0,2020,1,"0",0.981817424297333,"0","0","0",-54,6,-10,0.981817424297333,0.117357224225998,48.5,20.75,11,18,72,1423,3223,-0.261647657491267,4,7,66,"post2018","0","away","right","grass","outdoors","1","3","0","1","1",0.459636062383652,3.98685598373413,50.0131440162659,0.00349281704984605,0.439470529556274,0.0663913041353226,0
"2020_01_ARI_SF",599,"(8:31) 10-J.Garoppolo pass short right to 31-R.Mostert pushed ob at SF 36 for 5 yards (59-D.Campbell). caught at SF 32, 4 YAC","00-0031345","Jimmy Garoppolo","QB","00-0031687","Raheem Mostert","RB","SF",0,0,1,5,0,0,2020,1,"1",0.49183201789856,"0","0","0",-68,6,10,0.49183201789856,0.901995718479156,48.5,20.75,-9,1,69,1411,3211,1.78699917322956,5,10,66,"post2018","0","home","right","grass","outdoors","1","1","0","0","0",0.79509311914444,7.65311050415039,60.3468894958496,0.00193708925507963,0.238381594419479,0.00469075236469507,0
