"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rec_attempt","rec_air_yards","rec_yards_gained","rec_yards_gained_exp","rec_touchdown","rec_touchdown_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","route_participation_proxy","team_rec_yds_exp","receiving_market_share"
"2020",6,"00-0030181","Jack Doyle","TE","IND",3,1.94,3,24,29,22.15,1,0.4,9.9,6.52,3.38,0.6,1.94,59.04,0.375169376693767
"2020",6,"00-0030710","Trey Burton","TE","IND",4,3.29,5,40,58,36.89,1,0.4,21.9,13.7,8.2,0.89,3.29,59.04,0.624830623306233
,,,,,,,,,,,,,,,,,,,,
"2020",6,"00-0033338","Cethan Carter","TE","CIN",0,0.8,1,2,0,5.16,0,0,0,1.33,-1.33,0,0.8,12.49,0.413130504403523
"2020",6,"00-0035631","Drew Sample","TE","CIN",0,0.81,1,5,0,7.33,0,0,0,1.55,-1.55,0,0.81,12.49,0.586869495596477
"2020",6,"00-0031387","Eric Ebron","TE","PIT",2,2.85,4,28,9,30.15,0,0.37,2.9,8.09,-5.19,-0.37,2.85,30.15,1
"2020",6,"00-0036232","Harrison Bryant","TE","CLE",1,1.54,2,6,11,13.64,0,0,2.1,2.93,-0.83,0,1.54,71.96,0.189549749861034
"2020",6,"00-0032392","Austin Hooper","TE","CLE",5,4.51,6,20,52,42.35,0,0.02,10.2,8.85,1.35,-0.02,4.51,71.96,0.58852140077821
"2020",6,"00-0033885","David Njoku","TE","CLE",1,2.3,3,4,7,15.97,0,0.01,1.7,3.98,-2.28,-0.01,2.3,71.96,0.221928849360756
,,,,,,,,,,,,,,,,,,,,
"2020",6,"00-0036423","Albert Okwuegbunam","TE","DEN",2,2.85,6,86,45,39.27,0,1.46,6.5,15.51,-9.01,-1.46,2.85,46.33,0.847614936326354
"2020",6,"00-0032394","Nick Vannett","TE","DEN",1,0.8,1,4,7,7.06,0,0,1.7,1.52,0.18,0,0.8,46.33,0.152385063673646
"2020",6,"00-0034439","Ryan Izzo","TE","NE",3,2.13,3,25,38,27.64,0,0.01,4.8,4.95,-0.15,-0.01,2.13,27.64,1
"2020",6,"00-0032135","Jesse James","TE","DET",1,1.34,2,1,3,8.16,0,0.06,1.3,2.49,-1.19,-0.06,1.34,34.75,0.234820143884892
"2020",6,"00-0035229","T.J. Hockenson","TE","DET",2,3.18,5,34,17,26.59,1,2.12,9.7,18.58,-8.88,-1.12,3.18,34.75,0.765179856115108
"2020",6,"00-0036250","Tyler Davis","TE","JAX",0,1.06,2,27,0,17.09,0,0.39,0,5.13,-5.13,-0.39,1.06,25.41,0.672569854388036
"2020",6,"00-0031951","James O'Shaughnessy","TE","JAX",0,0.71,1,8,0,8.32,0,0,0,1.55,-1.55,0,0.71,25.41,0.327430145611964
"2020",6,"00-0033757","Robert Tonyan","TE","GB",3,2.63,4,25,25,27.84,0,0.01,5.5,5.46,0.04,-0.01,2.63,45.32,0.614298323036187
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2020",6,"00-0027656","Rob Gronkowski","TE","TB",5,4.77,8,91,78,66.81,1,1.11,18.8,18.13,0.670000000000002,-0.11,4.77,72.15,0.925987525987526
"2020",6,"00-0024243","Marcedes Lewis","TE","GB",0,1.26,2,22,0,17.48,0,0.01,0,3.05,-3.05,-0.01,1.26,45.32,0.385701676963813
"2020",6,"00-0031273","Cameron Brate","TE","TB",1,0.8,1,3,3,5.34,0,0.06,1.3,1.68,-0.38,-0.06,0.8,72.15,0.074012474012474
,,,,,,,,,,,,,,,,,,,,
"2020",6,"00-0033858","Jonnu Smith","TE","TEN",1,1.5,2,13,13,16.53,0,0,2.3,3.18,-0.88,0,1.5,105.19,0.157144215229585
"2020",6,"00-0033455","Anthony Firkser","TE","TEN",8,6.44,9,66,113,70.74,1,0.63,25.3,17.28,8.02,0.37,6.44,105.19,0.67249738568305
"2020",6,"00-0029738","Darren Fells","TE","HOU",6,4.93,7,51,85,55.05,1,0.54,20.5,13.68,6.82,0.46,4.93,71.06,0.774697438784126
"2020",6,"00-0032141","Geoff Swaim","TE","TEN",2,2.3,3,1,10,17.92,0,0.04,3,4.35,-1.35,-0.04,2.3,105.19,0.170358399087366
"2020",6,"00-0033439","Pharaoh Brown","TE","HOU",2,1.36,2,19,28,16.01,0,0.19,4.8,4.12,0.68,-0.19,1.36,71.06,0.225302561215874
