season,week,posteam,implied_total,total_line,vegas_wp
2020,4,MIA,29.75,55,0.19711588559798238
2020,4,MIN,24.5,52.5,0.7206494240991531
2020,4,NE,22.75,52.5,0.19335155173353588
2020,4,NO,27.25,51.5,0.7226226200808339
2020,4,NYG,18,49.5,0.12641492299735546
2020,4,NYJ,20,41,0.42089373201401764
2020,4,PHI,18.5,45.5,0.2861933786048178
2020,4,SEA,29.75,55,0.8585568368434906
2020,4,SF,18.5,45.5,0.5314641322340026
2020,4,TB,17.5,42.5,0.599580557787255
2020,4,WAS,29.75,45,0.043958144825396686
2020,5,ARI,27.75,48.5,0.9114432233397209
2020,5,ATL,25.5,53.5,0.3661397163084418
2020,5,BAL,18.25,49,0.967007677086064
2020,5,BUF,27.5,52,0.2703366114252385
2020,5,CAR,25.5,53.5,0.6119007986216319
2020,5,CHI,23.75,44,0.3318512479641608
2020,5,CIN,18.25,49,0.030058318392516884
2020,5,CLE,23.75,48.5,0.7288064839134755
2020,5,DAL,22.25,52,0.6228510828748826
2020,5,HOU,24.25,55,0.8250753137103298
2020,5,IND,23.75,48.5,0.25829794339141715
2020,5,JAX,24.25,55,0.18132492718101226
2020,5,KC,21.75,54.5,0.6095968251138112
2020,5,LA,26,45,0.9228597017434927
2020,5,LAC,21.25,49.5,0.5109354798315149
2020,5,LV,21.75,54.5,0.4282131297796061
2020,5,MIA,21,50.5,0.7843496833668381
2020,5,MIN,23.75,54,0.46985244524552505
2020,5,NO,21.25,49.5,0.45317908800653606
2020,5,NYG,22.25,52,0.3689322049957318
2020,5,NYJ,27.75,48.5,0.0944744624406458
2020,5,PHI,18.25,44,0.15914449001876813
2020,5,PIT,18.25,44,0.8373391014156919
2020,5,SEA,23.75,54,0.47570382028483615
2020,5,SF,21,50.5,0.22171201373310873
2020,5,TB,23.75,44,0.6791895310409733
2020,5,TEN,27.5,52,0.7439828043983827
2020,5,WAS,26,45,0.0888039118184348
2020,6,ARI,27.25,55.5,0.7439792484550154
2020,6,ATL,24.75,53,0.8491379831518445
2020,6,BAL,28.5,46.5,0.9601970762014389
2020,6,BUF,30.25,55,0.2149084772914648
2020,6,CAR,21.5,45,0.3044842459775251
2020,6,CHI,21.5,45,0.7743546152487397
2020,6,CIN,19.25,46,0.48164964813581657
2020,6,CLE,23.5,50,0.09386518041908858
2020,6,DAL,27.25,55.5,0.13643139379615765
2020,6,DEN,18.25,43.5,0.6834293945890957
2020,6,DET,27.75,52.5,0.9127814097063882
2020,6,GB,29,55,0.3808920356931853
2020,6,HOU,24,52,0.3549836184561931
2020,6,IND,19.25,46,0.4935458557585538
2020,6,JAX,27.75,52.5,0.10027252934680353
2020,6,KC,30.25,55,0.8105601825647883
2020,6,LA,26.5,51,0.21583396165321267
2020,6,MIA,18.25,46,0.9602735053609919
2020,6,MIN,24.75,53,0.15195165188342571
2020,6,NE,18.25,43.5,0.3658543353485612
2020,6,NYG,20.25,42.5,0.7111259996891022
2020,6,NYJ,18.25,46,0.040400812278125114
2020,6,PHI,28.5,46.5,0.03606251239085631
2020,6,PIT,23.5,50,0.8939512312412263
2020,6,SF,26.5,51,0.7754998006990979
2020,6,TB,29,55,0.7782618682535867
2020,6,TEN,24,52,0.6644838647191427
2020,6,WAS,20.25,42.5,0.3312088597617043
2020,7,ARI,29.5,55.5,0.21389247869058037
2020,7,ATL,26.5,54,0.5441009704795652
2020,7,BUF,28.25,47,0.7365828722715377
2020,7,CAR,21.25,49.5,0.24820557591461
2020,7,CHI,18.75,44,0.09895136353678251
2020,7,CIN,27.25,50,0.41534248782672745
2020,7,CLE,27.25,50,0.524241095956634
2020,7,DAL,22.75,44.5,0.22025025186182268
2020,7,DEN,26.5,46,0.06692676957581703
2020,7,DET,26.5,54,0.47152794766844364
2020,7,GB,29,55.5,0.8778768934187342
2020,7,HOU,29,55.5,0.07516226638084636
2020,7,JAX,20,48,0.1769051509381909
2020,7,KC,26.5,46,0.9393944080839766
2020,7,LA,18.75,44,0.8930604751430341
2020,7,LAC,20,48,0.8244346140634704
2020,7,LV,27.5,51.5,0.26428621351005854
2020,7,NE,20.5,44,0.1404333202374007
2020,7,NO,21.25,49.5,0.7648163004354998
2020,7,NYG,19.75,44.5,0.4992729858137095
2020,7,NYJ,28.25,47,0.3223712457136975
2020,7,PHI,19.75,44.5,0.6440158563340214
2020,7,PIT,25,51,0.7605011902145438
2020,7,SEA,29.5,55.5,0.7605789896340867
2020,7,SF,20.5,44,0.772594424024705
2020,7,TB,27.5,51.5,0.7365525999239514
2020,7,TEN,25,51,0.23143522186135806
2020,7,WAS,22.75,44.5,0.8019174502524045
2020,8,ATL,25.25,52,0.5890423323620448
2020,8,BAL,20,44,0.5800575324892998
2020,8,BUF,18.5,41,0.7438305084194455
2020,8,CAR,25.25,52,0.44004312104412485
2020,8,CHI,23.25,41,0.3258988469497126
2020,8,CIN,28.5,49.5,0.6230352026396901
2020,8,CLE,23.5,48,0.4060276936184853
2020,8,DAL,16.5,43,0.18805477276095192
2020,8,DEN,23.75,44.5,0.23266277164874372
2020,8,DET,26.25,49,0.17192155444221996
2020,8,GB,20.75,47,0.38956128285531744
2020,8,IND,26.25,49,0.7620397464161035
2020,8,KC,14.5,49,0.9744774708107337
2020,8,LA,25,46.5,0.29448340285258984
2020,8,LAC,23.75,44.5,0.7622676084681256
2020,8,LV,23.5,48,0.6309898046479709
2020,8,MIA,25,46.5,0.7132730556929365
2020,8,MIN,20.75,47,0.5288870840643843
2020,8,NE,18.5,41,0.27368121862659855
2020,8,NO,23.25,41,0.6335496960706275
2020,8,NYG,30,47,0.27771103814611237
2020,8,NYJ,14.5,49,0.03249230357392166
2020,8,PHI,16.5,43,0.8151865444155078
2020,8,PIT,20,44,0.4006169425944487
2020,8,SEA,26.75,54.5,0.7893866410622229
2020,8,SF,26.75,54.5,0.24785832464637494
2020,8,TB,30,47,0.7136864626949796
2020,8,TEN,28.5,49.5,0.40295986685800983
2020,9,ARI,21.5,49,0.5951650029137021
2020,9,ATL,22.75,50,0.8728792952067816
2020,9,BAL,23.5,48,0.6038428593854436
2020,9,BUF,29,55,0.7987480759620667
2020,9,CAR,20.75,51.5,0.23992720145631483
2020,9,CHI,20,46.5,0.1264414941178984
2020,9,DAL,29,44,0.38730429334269056
2020,9,DEN,22.75,50,0.06679607241572477
2020,9,DET,24.25,51.5,0.12157081738688351
2020,9,GB,27.25,48.5,0.9244730049563993
2020,9,HOU,28,49,0.8567034900188446
2020,9,IND,23.5,48,0.36061545040664406
2020,9,JAX,28,49,0.15949729978902774
2020,9,KC,20.75,51.5,0.7203042304941587
2020,9,LAC,26.75,52.5,0.285349360039508
2020,9,LV,26.75,52.5,0.709302193048049
2020,9,MIA,21.5,49,0.4154191050889357
2020,9,MIN,24.25,51.5,0.8794131543901231
2020,9,NE,25.5,41.5,0.5409823344334176
2020,9,NO,24,51,0.8859358856247532
2020,9,NYG,20,43,0.7003693649734275
2020,9,NYJ,25.5,41.5,0.33543565644081247
2020,9,PIT,29,44,0.6454291054016212
2020,9,SEA,29,55,0.19914145055548121
2020,9,SF,27.25,48.5,0.08222761380952409
2020,9,TB,24,51,0.11117711120929272
2020,9,TEN,20,46.5,0.8452226897844901
2020,9,WAS,20,43,0.28121048087875045
2020,10,ARI,26.25,55.5,0.4651805774317507
2020,10,BAL,25.5,44,0.49314557421471794
2020,10,BUF,26.25,55.5,0.5440086205216015
2020,10,CAR,27.75,49.5,0.2529918707609772
2020,10,CHI,23.75,44,0.294753103555801
2020,10,CIN,19.5,45.5,0.07164632848188836
2020,10,CLE,20.75,46,0.7716209096986739
2020,10,DEN,23.5,50.5,0.17933969038365835
2020,10,DET,21.75,46,0.7970021367073059
2020,10,GB,16.75,47,0.7729346479399729
2020,10,HOU,20.75,46,0.3065533620090439
2020,10,IND,25,49,0.5485728733679827
2020,10,JAX,16.75,47,0.22444694771848878
2020,10,LA,26,55,0.7500762605305875
2020,10,LAC,23.75,48.5,0.18368437935094367
2020,10,LV,23.5,50.5,0.8145429221066561
2020,10,MIA,23.75,48.5,0.8532154942488555
2020,10,MIN,23.75,44,0.685290532656493
2020,10,NE,25.5,44,0.5164186593733335
2020,10,NO,20,49.5,0.865293434206045
2020,10,NYG,24.75,45,0.6479795309714973
2020,10,PHI,24.75,45,0.3521761616062252
2020,10,PIT,19.5,45.5,0.9066881595090477
2020,10,SEA,26,55,0.23643870288664004
2020,10,SF,20,49.5,0.20453642494248925
2020,10,TB,27.75,49.5,0.7763140068242423
2020,10,TEN,25,49,0.32445322977027735
2020,10,WAS,21.75,46,0.20520328084167874
2020,11,ARI,26.75,56.5,0.22194987063606578
2020,11,ATL,23,49.5,0.3025546527931902
2020,11,BAL,22.25,50.5,0.6805108621350475
2020,11,CAR,25,47,0.7110055179699607
2020,11,CIN,23,48,0.3982183684805228
2020,11,CLE,21.5,45.5,0.7576516025489377
2020,11,DAL,21.5,50,0.39420413531921805
2020,11,DEN,25,46,0.5238458809871522
2020,11,DET,25,47,0.291118784637656
2020,11,GB,25.25,52,0.5217898570678828
2020,11,HOU,26,49.5,0.5649164699550185
2020,11,IND,25.25,52,0.4310631429671297
2020,11,JAX,29,47,0.1037833989015511
2020,11,KC,32,56.5,0.6337112025038837
2020,11,LA,21.75,47.5,0.5490074340306538
2020,11,LAC,18.5,47,0.8956058438618977
2020,11,LV,32,56.5,0.3278126677400187
2020,11,MIA,25,46,0.4331869569691745
2020,11,MIN,21.5,50,0.6006184076353654
2020,11,NE,26,49.5,0.402292422571918
2020,11,NO,23,49.5,0.7413003788156025
2020,11,NYJ,18.5,47,0.07758452348342099
2020,11,PHI,21.5,45.5,0.2829296956459681
2020,11,PIT,29,47,0.920357540045699
2020,11,SEA,26.75,56.5,0.719585222713018
2020,11,TB,21.75,47.5,0.4676878332640186
2020,11,TEN,22.25,50.5,0.3093913653458176
2020,11,WAS,23,48,0.7433173206903165
2020,12,ARI,26,51,0.6177157457260525
2020,12,ATL,28.25,53,0.7319913892678813
2020,12,BAL,15.5,41.5,0.13835976129073813
2020,12,BUF,23.25,51,0.8662213975732976
2020,12,CAR,23.5,50,0.5263710466679186
2020,12,CHI,18.25,44,0.03557369067352026
2020,12,CIN,25.75,45,0.26180326244370505
2020,12,CLE,28,48.5,0.8063014505370971
2020,12,DAL,21.75,46,0.3749287512185237
2020,12,DEN,26.75,36.5,0.04675344513634627
2020,12,DET,27.75,52.5,0.18557001116649366
2020,12,GB,18.25,44,0.911419780815349
2020,12,HOU,27.75,52.5,0.7879065751323135
2020,12,IND,24.25,51.5,0.19252601429472557
2020,12,JAX,28,48.5,0.20802977459805627
2020,12,KC,29.75,56,0.88568594455719
2020,12,LA,19.75,44.5,0.5385574370117511
2020,12,LAC,23.25,51,0.15303317480536738
2020,12,LV,28.25,53,0.2820326157469128
