"game_id","play_id","desc","rusher_player_id","full_name","posteam","two_point_attempt","two_point_converted","rush_attempt","first_down_rush","fumble_lost","season","week","rushing_yards","rush_touchdown","first_down","posteam_type","run_location","run_gap","run_gap_dir","surface","wind","temp","roof","position","yardline_100","half_seconds_remaining","game_seconds_remaining","fixed_drive","era","xpass","qtr","down","goal_to_go","ydstogo","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","ep","vegas_wp","implied_total","rushing_yards_exp","rushing_td_exp","rushing_fd_exp","two_point_conv_exp","rush_yards_exp","rush_touchdown_exp","rush_first_down_exp"
"2022_01_BAL_NYJ",723,"(4:56) (Shotgun) 17-K.Drake left tackle to NYJ 14 for -1 yards (58-C.Lawson).","00-0033118","Kenyan Drake","BAL",0,0,1,0,0,2022,1,-1,"0","0","away","left","tackle","left_tackle","turf",8,60,"outdoors","RB",13,1196,2996,6,"post2018",0.397172540426254,"1","1","0",10,"1","0","0","0",0,4.86352867854293,0.84145599603653,25.25,3.95600199699402,0.0644211992621422,0.121010340750217,0,3.95600199699402,0.0644211992621422,0.121010340750217
"2022_01_BAL_NYJ",959,"(:25) (Shotgun) 17-K.Drake up the middle to BAL 32 for 3 yards (52-J.Johnson).","00-0033118","Kenyan Drake","BAL",0,0,1,0,0,2022,1,3,"0","0","away","middle","guard","middle_guard","turf",8,60,"outdoors","RB",71,925,2725,8,"post2018",0.705757975578308,"1","2","0",8,"1","0","0","0",3,0.325909909326583,0.794687449932098,25.25,4.45177602767944,0.00117726717144251,0.10010914504528,0,4.45177602767944,0.00117726717144251,0.10010914504528
"2022_01_BAL_NYJ",1099,"(13:37) 20-Br.Hall left tackle to BAL 41 for 4 yards (92-J.Madubuike; 44-M.Humphrey).","00-0038120","Breece Hall","NYJ",0,0,1,0,0,2022,1,4,"0","0","home","left","tackle","left_tackle","turf",8,60,"outdoors","RB",45,817,2617,9,"post2018",0.471680223941803,"2","1","0",10,"0","0","0","0",-3,3.15340764867142,0.23127543926239,25.25,4.30904388427734,0.00159044284373522,0.125693142414093,0,4.30904388427734,0.00159044284373522,0.125693142414093
"2022_01_BAL_NYJ",1144,"(12:20) 20-Br.Hall up the middle to BAL 33 for no gain (93-C.Campbell; 92-J.Madubuike).","00-0038120","Breece Hall","NYJ",0,0,1,0,0,2022,1,0,"0","0","home","middle","guard","middle_guard","turf",8,60,"outdoors","RB",33,740,2540,9,"post2018",0.462400645017624,"2","1","0",10,"0","0","0","0",-3,3.81228671083227,0.269777774810791,25.25,3.97335386276245,0.00335460272617638,0.0853380858898163,0,3.97335386276245,0.00335460272617638,0.0853380858898163
"2022_01_BAL_NYJ",1378,"(8:01) 20-Br.Hall right end pushed ob at NYJ 25 for 14 yards (23-K.Fuller).","00-0038120","Breece Hall","NYJ",0,0,1,1,0,2022,1,14,"0","1","home","right","end","right_end","turf",8,60,"outdoors","RB",89,481,2281,11,"post2018",0.452269703149796,"2","1","0",10,"0","0","0","0",-3,0.407709098653868,0.210542425513268,25.25,4.76642417907715,0.00172000494785607,0.145231321454048,0,4.76642417907715,0.00172000494785607,0.145231321454048
"2022_01_BAL_NYJ",1696,"(3:45) 32-Mi.Carter right guard to NYJ 30 for 5 yards (56-J.Bynes).","00-0036924","Michael Carter","NYJ",0,0,1,0,0,2022,1,5,"0","0","home","right","guard","right_guard","turf",8,60,"outdoors","RB",75,225,2025,13,"post2018",0.638773798942566,"2","1","0",10,"0","0","0","0",-10,0.902776310453191,0.101204216480255,25.25,4.6425461769104,0.00111807219218463,0.123021304607391,0,4.6425461769104,0.00111807219218463,0.123021304607391
"2022_01_BAL_NYJ",1717,"(3:14) 32-Mi.Carter up the middle to BAL 48 for 22 yards (60-S.Means).","00-0036924","Michael Carter","NYJ",0,0,1,1,0,2022,1,22,"0","1","home","middle","guard","middle_guard","turf",8,60,"outdoors","RB",70,194,1994,13,"post2018",0.619312644004822,"2","2","0",5,"0","0","0","0",-10,1.00978498836048,0.105857379734516,25.25,4.25422239303589,0.00104219885542989,0.244413793087006,0,4.25422239303589,0.00104219885542989,0.244413793087006
"2022_01_BAL_NYJ",1803,"(1:26) 20-Br.Hall left tackle to BAL 27 for 5 yards (93-C.Campbell).","00-0038120","Breece Hall","NYJ",0,0,1,0,0,2022,1,5,"0","0","home","left","tackle","left_tackle","turf",8,60,"outdoors","RB",32,86,1886,13,"post2018",0.849896371364594,"2","1","0",10,"0","0","0","0",-10,3.43402216618415,0.116611838340759,25.25,4.6233115196228,0.00533082475885749,0.06803048402071,0,4.6233115196228,0.00533082475885749,0.06803048402071
"2022_01_BAL_NYJ",1841,"(1:20) (Shotgun) 32-Mi.Carter up the middle to BAL 27 for no gain (50-J.Houston).","00-0036924","Michael Carter","NYJ",0,0,1,0,0,2022,1,0,"0","0","home","middle","guard","middle_guard","turf",8,60,"outdoors","RB",27,80,1880,13,"post2018",0.822214543819427,"2","2","0",5,"1","0","0","0",-10,3.14458230679156,0.11911728233099,25.25,4.57733011245728,0.0112587567418814,0.35736021399498,0,4.57733011245728,0.0112587567418814,0.35736021399498
"2022_01_BAL_NYJ",1994,"(:24) (Shotgun) 43-J.Hill left guard to BAL 28 for 3 yards (30-M.Carter; 58-C.Lawson).","00-0034975","Justice Hill","BAL",0,0,1,0,0,2022,1,3,"0","0","away","left","guard","left_guard","turf",8,60,"outdoors","RB",75,24,1824,14,"post2018",0.702193200588226,"2","1","0",10,"1","0","0","0",7,0.128992111363914,0.87410044670105,25.25,6.71155309677124,0.00426307786256075,0.291828781366348,0,6.71155309677124,0.00426307786256075,0.291828781366348
