season,posteam,games,outdoor_share,mean_wind,mean_temp,harsh_share
2020,ARI,3,0,8,60,0
2020,ATL,3,0.6736842105263158,6.526315789473683,58.48421052631579,0
2020,BAL,3,1,5.529702970297034,38.67326732673267,0
2020,BUF,3,1,9.510101010100996,41.03030303030303,0.32323232323232326
2020,CAR,3,1,4.406593406593406,43.28571428571429,0
2020,CHI,3,0.6926829268292682,6.634146341463415,48.34634146341462,0.35609756097560974
2020,CIN,3,0.5696969696969697,9.139393939393939,49.345454545454544,0
2020,CLE,3,1,3.9842931937172774,36.97905759162304,0
2020,DAL,3,0.38144329896907214,7.237113402061856,49.70103092783504,0
2020,DEN,3,0.6411483253588517,13.301435406698564,53.78947368421053,0.28708133971291866
2020,DET,3,0.39156626506024095,6.825301204819278,54.51807228915662,0
2020,GB,3,1,9.419753086419757,30.790123456790123,0.654320987654321
2020,HOU,3,0,8,60,0
2020,IND,3,0.3463687150837989,7.307262569832401,52.03351955307263,0
2020,JAX,3,0.6380368098159509,5.460122699386503,51.803680981595086,0
2020,KC,3,0.5637254901960784,7.519607843137256,50.43627450980392,0
2020,LA,3,0.37305699481865284,5.761658031088083,54.4041450777202,0
2020,LAC,3,0.3701657458563536,7.259668508287294,50.745856353591165,0
2020,LV,3,0.31958762886597936,8.63917525773196,57.76288659793814,0
2020,MIA,3,0.7129186602870813,5.650717703349282,56.70334928229664,0
2020,MIN,3,0,8,60,0
2020,NE,3,1,5.98051948051948,49.97402597402599,0
2020,NO,3,0.3315508021390374,6.010695187165774,59.00534759358289,0
2020,NYG,3,1,3,35.66666666666667,0
2020,NYJ,3,0.6702127659574468,5.98936170212766,43.329787234042556,0
2020,PHI,3,0.3024390243902439,8.604878048780487,53.34634146341462,0
2020,PIT,3,1,7.634920634920635,39.28042328042328,0
2020,SEA,3,0.6337209302325582,6.046511627906975,49.87790697674419,0
2020,SF,3,0,8,60,0
2020,TB,3,0.3247422680412371,6.701030927835053,61.623711340206185,0
2020,TEN,3,0.6363636363636364,8.925133689839575,45.98930481283422,0.28342245989304815
2020,WAS,3,1,7.930348258706467,40.875621890547265,0
2021,ARI,3,0,8,60,0
2021,ATL,3,1,8,60,0
2021,BAL,3,1,8,60,0
2021,BUF,3,1,8,60,0
2021,CAR,3,0.712707182320442,8,60,0
2021,CHI,3,1,8,60,0
2021,CIN,3,1,8,60,0
2021,CLE,3,1,8,60,0
2021,DAL,3,0.34536082474226804,8,60,0
2021,DEN,3,0.422360248447205,8,60,0
2021,DET,3,0.6808510638297872,8,60,0
2021,GB,3,1,8,60,0
2021,HOU,3,1,8,60,0
2021,IND,3,0.6303030303030303,8,60,0
2021,JAX,3,1,8,60,0
2021,KC,3,0.6473684210526316,8,60,0
2021,LA,3,0.30434782608695654,8,60,0
2021,LAC,3,0.29064039408866993,8,60,0
2021,LV,3,0.6524064171122995,8,60,0
2021,MIA,3,0.6888888888888889,8,60,0
2021,MIN,3,0.6407185628742516,8,60,0
2021,NE,3,1,8,60,0
2021,NO,3,0.36942675159235666,8,60,0
2021,NYG,3,1,8,60,0
2021,NYJ,3,1,8,60,0
2021,PHI,3,1,8,60,0
2021,PIT,3,1,8,60,0
2021,SEA,3,0.7076023391812866,8,60,0
2021,SF,3,1,8,60,0
2021,TB,3,1,8,60,0
2021,TEN,3,1,8,60,0
2021,WAS,3,0.6790123456790124,8,60,0
2022,ARI,3,0.6598984771573604,6.842639593908629,53.34517766497462,0
2022,ATL,3,0.34375,8.34375,45.21875,0.34375
2022,BAL,3,1,7.937106918238997,31.522012578616355,0.3270440251572327
2022,BUF,2,1,9.890625,19.03125,1
2022,CAR,3,1,7.184049079754601,46.3680981595092,0.3987730061349693
2022,CHI,3,0.7171052631578947,14.453947368421051,25.41447368421053,0.7171052631578947
2022,CIN,2,1,3.7841726618705036,41.07194244604315,0.5539568345323741
2022,CLE,3,1,16.775862068965512,30.43678160919541,0.3735632183908046
2022,DAL,3,0.6857142857142857,6.947619047619049,56.58095238095238,0
2022,DEN,3,0.6853932584269663,4.561797752808991,47.7191011235955,0
