season,player_id,full_name,position,games,pts,exp_pts,gap,td,td_exp,gap_per_game,td_gap,fade_flag,exp_per_game
2020,00-0019596,Tom Brady,QB,20,420.06,435.34000000000003,-15.279999999999994,54,55.440000000000005,-0.7639999999999997,-1.4400000000000048,FALSE,21.767000000000003
2020,00-0020531,Drew Brees,QB,14,235.94,233.13,2.8100000000000023,29,25.74,0.20071428571428587,3.2600000000000016,FALSE,16.652142857142856
2020,00-0022127,Jason Witten,TE,10,31.900000000000002,38.129999999999995,-6.229999999999999,2,2.5200000000000005,-0.6229999999999999,-0.5200000000000005,FALSE,3.8129999999999997
2020,00-0022921,Larry Fitzgerald,WR,13,100.89999999999999,119.9,-18.999999999999996,1,2.18,-1.4615384615384612,-1.1800000000000002,FALSE,9.223076923076924
2020,00-0022924,Ben Roethlisberger,QB,16,294.7,307.55,-12.849999999999994,37,34.93,-0.8031249999999996,2.0700000000000003,FALSE,19.221875
2020,00-0022942,Philip Rivers,QB,17,264.22,272.91,-8.689999999999992,26,28.61,-0.5111764705882349,-2.6099999999999994,FALSE,16.053529411764707
2020,00-0023436,Alex Smith,QB,8,71.58000000000001,86.15,-14.57,6,7.13,-1.82125,-1.13,FALSE,10.76875
2020,00-0023459,Aaron Rodgers,QB,18,434.64,384.90999999999997,49.72999999999999,57,49.579999999999984,2.762777777777777,7.420000000000016,TRUE,21.383888888888887
2020,00-0023500,Frank Gore,RB,15,100.2,128.05999999999997,-27.860000000000003,2,4.09,-1.8573333333333335,-2.09,FALSE,8.537333333333331
2020,00-0023682,Ryan Fitzpatrick,QB,9,153.73999999999998,164.04999999999998,-10.310000000000002,15,18.049999999999997,-1.1455555555555559,-3.049999999999997,FALSE,18.227777777777774
2020,00-0024243,Marcedes Lewis,TE,11,44.5,43.48,1.019999999999998,3,2.2999999999999994,0.09272727272727255,0.7000000000000006,FALSE,3.9527272727272726
2020,00-0025394,Adrian Peterson,RB,16,124.49999999999999,137.06000000000003,-12.559999999999995,7,7.979999999999999,-0.7849999999999997,-0.97999999999999865,FALSE,8.566250000000002
2020,00-0025418,Greg Olsen,TE,11,53.89999999999999,72.28,-18.380000000000003,1,3.35,-1.6709090909090911,-2.35,FALSE,6.570909090909091
2020,00-0026035,Danny Amendola,WR,14,106.39999999999999,114.43,-8.030000000000006,0,1.5100000000000002,-0.5735714285714291,-1.5100000000000002,FALSE,8.17357142857143
2020,00-0026143,Matt Ryan,QB,16,286.43999999999994,337.63,-51.19,28,36.550000000000004,-3.199375,-8.550000000000004,FALSE,21.101875
2020,00-0026498,Matthew Stafford,QB,16,260.56,274.3,-13.740000000000002,26,27.470000000000006,-0.8587500000000001,-1.470000000000006,FALSE,17.14375
2020,00-0027029,LeSean McCoy,RB,8,28.2,34.56,-6.36,0,0.62,-0.795,-0.62,FALSE,4.32
2020,00-0027061,Jared Cook,TE,17,141.20000000000002,143.03,-1.8299999999999974,7,5.569999999999999,-0.10764705882352926,1.4300000000000006,FALSE,8.413529411764706
2020,00-0027656,Rob Gronkowski,TE,20,180.3,197.25,-16.949999999999996,9,11.02,-0.8474999999999998,-2.0199999999999996,FALSE,9.8625
2020,00-0027685,Emmanuel Sanders,WR,16,177.90000000000003,176.35000000000002,1.5500000000000034,5,5.51,0.09687500000000021,-0.5099999999999998,FALSE,11.021875000000001
2020,00-0027696,Jimmy Graham,TE,17,154.1,148.52,5.579999999999996,9,7.7200000000000015,0.3282352941176468,1.2799999999999985,FALSE,8.736470588235294
2020,00-0027793,Antonio Brown,WR,11,147.39999999999998,138.52,8.879999999999997,6,4.420000000000001,0.807272727272727,1.5799999999999992,FALSE,12.592727272727274
2020,00-0027891,Golden Tate,WR,12,86.52,82.84,3.679999999999999,2,1.9700000000000004,0.3066666666666666,0.029999999999999583,FALSE,6.903333333333333
2020,00-0027939,Cam Newton,QB,15,260.97999999999996,287.2799999999999,-26.29999999999998,21,25.839999999999996,-1.7533333333333319,-4.839999999999996,FALSE,19.151999999999994
2020,00-0027942,A.J. Green,WR,16,111.30000000000001,182.93,-71.63000000000001,2,6.079999999999998,-4.476875000000001,-4.079999999999998,FALSE,11.433125
2020,00-0027944,Julio Jones,WR,9,146.10000000000002,128.88,17.220000000000006,3,4.029999999999999,1.913333333333334,-1.0299999999999994,FALSE,14.32
2020,00-0027966,Mark Ingram,RB,10,52.9,62.01,-9.109999999999996,2,2.9600000000000004,-0.9109999999999996,-0.9600000000000004,FALSE,6.201
2020,00-0027973,Andy Dalton,QB,11,136.89999999999998,174.30000000000004,-37.400000000000006,14,19.07,-3.4000000000000004,-5.07,FALSE,15.84545454545455
2020,00-0027981,Kyle Rudolph,TE,12,65.39999999999999,68.11,-2.709999999999999,1,1.8900000000000001,-0.22583333333333325,-0.8900000000000001,FALSE,5.675833333333333
2020,00-0028002,Randall Cobb,WR,10,100.1,89.04,11.059999999999995,3,3.369999999999999,1.1059999999999994,-0.3699999999999992,FALSE,8.904
2020,00-0028042,Luke Stocker,TE,9,13.3,20.38,-7.079999999999999,0,0.7000000000000001,-0.7866666666666666,-0.7000000000000001,FALSE,2.2644444444444445
2020,00-0028087,Dion Lewis,RB,16,59.20000000000001,67.94999999999999,-8.750000000000004,3,2.66,-0.5468750000000002,0.33999999999999986,FALSE,4.246874999999999
