"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rec_attempt","rec_air_yards","rec_yards_gained","rec_yards_gained_exp","rec_touchdown","rec_touchdown_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","tprr_proxy","yprr_proxy","team_targets","first_read_share","team_rec_exp","vacated_targets"
"2020",2,"00-0030578","Cordarrelle Patterson","WR","CHI",2,1.76,2,-5,8,11.12,0,0,5.3,7.04,-1.74,-0.04,1.13636363636364,6.31818181818182,19,0.105263157894737,12.28,10.52
"2020",2,"00-0035535","Darius Slayton","WR","NYG",3,3.83,6,66,33,53.4,0,0.08,6.3,9.64,-3.34,-0.08,1.56657963446475,13.9425587467363,20,0.3,13.38,9.55
"2020",2,"00-0036309","Darnell Mooney","WR","CHI",3,1.78,3,33,36,24.68,1,0.32,12.6,6.18,6.42,0.68,1.68539325842697,13.8651685393258,19,0.157894736842105,12.28,10.5
"2020",2,"00-0034426","Javon Wims","WR","CHI",2,1.35,2,17,17,16.49,0,0.03,3.7,3.2,0.5,-0.03,1.48148148148148,12.2148148148148,19,0.105263157894737,12.28,10.93
"2020",2,"00-0027891","Golden Tate","WR","NYG",5,3.46,5,39,47,37.62,0,0.14,9.7,8.08,1.62,-0.14,1.44508670520231,10.8728323699422,20,0.25,13.38,9.92
"2020",2,"00-0033367","C.J. Board","WR","NYG",3,2.06,3,23,32,22.25,0,0.02,6.2,4.41,1.79,-0.02,1.45631067961165,10.8009708737864,20,0.15,13.38,11.32
,,,,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0034273","Damion Ratley","WR","NYG",0,1.29,2,17,0,13.25,0,0.1,0,3.23,-3.23,-0.1,1.55038759689922,10.2713178294574,20,0.1,13.38,12.09
,,,,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0032054","Breshad Perriman","WR","NYJ",2,1.48,2,5,12,10.93,0,0.01,3.2,2.65,0.55,-0.01,1.35135135135135,7.38513513513514,16,0.125,11.55,10.07
