season,player_id,full_name,position,games,pts,exp_pts,gap,td,td_exp,gap_per_game,exp_per_game,td_gap,fade_flag
2020,00-0019596,Tom Brady,QB,16,337.91999999999996,350.55,-12.629999999999995,43,43.970000000000006,-0.7893749999999997,21.909375,-0.970000000000006,FALSE
2020,00-0020531,Drew Brees,QB,12,213.48,196.21,17.270000000000003,26,21.92,1.439166666666667,16.350833333333334,4.079999999999998,FALSE
2020,00-0022127,Jason Witten,TE,10,31.900000000000002,38.129999999999995,-6.229999999999999,2,2.5200000000000005,-0.6229999999999999,3.8129999999999997,-0.5200000000000005,FALSE
2020,00-0022921,Larry Fitzgerald,WR,13,100.89999999999999,119.9,-18.999999999999996,1,2.18,-1.4615384615384612,9.223076923076924,-1.1800000000000002,FALSE
2020,00-0022924,Ben Roethlisberger,QB,15,266.65999999999997,273.01,-6.349999999999994,33,30.93,-0.42333333333333295,18.200666666666667,2.0700000000000003,FALSE
2020,00-0022942,Philip Rivers,QB,16,241.96,251.35000000000002,-9.389999999999992,24,26.2,-0.5868749999999995,15.709375000000001,-2.1999999999999993,FALSE
2020,00-0023436,Alex Smith,QB,8,71.58000000000001,86.15,-14.57,6,7.13,-1.82125,10.76875,-1.13,FALSE
2020,00-0023459,Aaron Rodgers,QB,16,385.26,331.83,53.42999999999999,51,41.94999999999999,3.3393749999999995,20.739375,9.050000000000011,TRUE
2020,00-0023500,Frank Gore,RB,15,100.2,128.05999999999997,-27.860000000000003,2,4.09,-1.8573333333333335,8.537333333333331,-2.09,FALSE
2020,00-0023682,Ryan Fitzpatrick,QB,9,153.73999999999998,164.04999999999998,-10.310000000000002,15,18.049999999999997,-1.1455555555555559,18.227777777777774,-3.049999999999997,FALSE
2020,00-0024243,Marcedes Lewis,TE,10,38.7,38.669999999999995,0.029999999999997806,3,2.2699999999999996,0.0029999999999997806,3.8669999999999995,0.7300000000000004,FALSE
2020,00-0025394,Adrian Peterson,RB,16,124.49999999999999,137.06000000000003,-12.559999999999995,7,7.979999999999999,-0.7849999999999997,8.566250000000002,-0.97999999999999865,FALSE
2020,00-0025418,Greg Olsen,TE,11,53.89999999999999,72.28,-18.380000000000003,1,3.35,-1.6709090909090911,6.570909090909091,-2.35,FALSE
2020,00-0026035,Danny Amendola,WR,14,106.39999999999999,114.43,-8.030000000000006,0,1.5100000000000002,-0.5735714285714291,8.17357142857143,-1.5100000000000002,FALSE
2020,00-0026143,Matt Ryan,QB,16,286.43999999999994,337.63,-51.19,28,36.550000000000004,-3.199375,21.101875,-8.550000000000004,FALSE
2020,00-0026498,Matthew Stafford,QB,16,260.56,274.3,-13.740000000000002,26,27.470000000000006,-0.8587500000000001,17.14375,-1.470000000000006,FALSE
2020,00-0027029,LeSean McCoy,RB,8,28.2,34.56,-6.36,0,0.62,-0.795,4.32,-0.62,FALSE
