"season","player_id","full_name","position","posteam","pass_attempt","rec_attempt","rush_attempt","pass_air_yards","rec_air_yards","pass_completions","receptions","pass_completions_exp","receptions_exp","pass_yards_gained","rec_yards_gained","rush_yards_gained","pass_yards_gained_exp","rec_yards_gained_exp","rush_yards_gained_exp","pass_touchdown","rec_touchdown","rush_touchdown","pass_touchdown_exp","rec_touchdown_exp","rush_touchdown_exp","pass_two_point_conv","rec_two_point_conv","rush_two_point_conv","pass_two_point_conv_exp","rec_two_point_conv_exp","rush_two_point_conv_exp","pass_first_down","rec_first_down","rush_first_down","pass_first_down_exp","rec_first_down_exp","rush_first_down_exp","pass_interception","rec_interception","pass_interception_exp","rec_interception_exp","rec_fumble_lost","rush_fumble_lost","pass_fantasy_points_exp","rec_fantasy_points_exp","rush_fantasy_points_exp","pass_fantasy_points","rec_fantasy_points","rush_fantasy_points","total_yards_gained","total_yards_gained_exp","total_touchdown","total_touchdown_exp","total_first_down","total_first_down_exp","total_fantasy_points","total_fantasy_points_exp","pass_completions_diff","receptions_diff","pass_yards_gained_diff","rec_yards_gained_diff","rush_yards_gained_diff","pass_touchdown_diff","rec_touchdown_diff","rush_touchdown_diff","pass_two_point_conv_diff","rec_two_point_conv_diff","rush_two_point_conv_diff","pass_first_down_diff","rec_first_down_diff","rush_first_down_diff","pass_interception_diff","rec_interception_diff","pass_fantasy_points_diff","rec_fantasy_points_diff","rush_fantasy_points_diff","total_yards_gained_diff","total_touchdown_diff","total_first_down_diff","total_fantasy_points_diff","pass_attempt_team","rec_attempt_team","rush_attempt_team","pass_air_yards_team","rec_air_yards_team","pass_completions_team","receptions_team","pass_completions_exp_team","receptions_exp_team","pass_yards_gained_team","rec_yards_gained_team","rush_yards_gained_team","pass_yards_gained_exp_team","rec_yards_gained_exp_team","rush_yards_gained_exp_team","pass_touchdown_team","rec_touchdown_team","rush_touchdown_team","pass_touchdown_exp_team","rec_touchdown_exp_team","rush_touchdown_exp_team","pass_two_point_conv_team","rec_two_point_conv_team","rush_two_point_conv_team","pass_two_point_conv_exp_team","rec_two_point_conv_exp_team","rush_two_point_conv_exp_team","pass_first_down_team","rec_first_down_team","rush_first_down_team","pass_first_down_exp_team","rec_first_down_exp_team","rush_first_down_exp_team","pass_interception_team","rec_interception_team","pass_interception_exp_team","rec_interception_exp_team","rec_fumble_lost_team","rush_fumble_lost_team","pass_fantasy_points_exp_team","rec_fantasy_points_exp_team","rush_fantasy_points_exp_team","pass_fantasy_points_team","rec_fantasy_points_team","rush_fantasy_points_team","pass_completions_diff_team","receptions_diff_team","pass_yards_gained_diff_team","rec_yards_gained_diff_team","rush_yards_gained_diff_team","pass_touchdown_diff_team","rec_touchdown_diff_team","rush_touchdown_diff_team","pass_two_point_conv_diff_team","rec_two_point_conv_diff_team","rush_two_point_conv_diff_team","pass_first_down_diff_team","rec_first_down_diff_team","rush_first_down_diff_team","pass_interception_diff_team","rec_interception_diff_team","pass_fantasy_points_diff_team","rec_fantasy_points_diff_team","rush_fantasy_points_diff_team","total_yards_gained_team","total_yards_gained_exp_team","total_yards_gained_diff_team","total_touchdown_team","total_touchdown_exp_team","total_touchdown_diff_team","total_first_down_team","total_first_down_exp_team","total_first_down_diff_team","total_fantasy_points_team","total_fantasy_points_exp_team","total_fantasy_points_diff_team","games"
"2024","00-0039040","De'Von Achane","RB","MIA",0,87,203,0,-35,0,78,0,68.58,0,592,907,0,499.82,850.41,0,6,6,0,3.63,8.25,0,0,0,0,0,0,0,30,37,0,23.65,45.44,0,0,0,0.83,0,0,0,140.35,134.57,0,173.2,126.7,1499,1350.23,12,11.88,67,69.09,299.9,274.92,0,9.42,0,92.18,56.59,0,2.37,-2.25,0,0,0,0,6.35,-8.44,0,-0.83,0,32.85,-7.87,148.77,0.12,-2.09,24.98,591,591,448,3711,3711,413,413,401.73,401.69,4059,4059,1795,4079.2,4079.16,1961.38,22,22,12,26.62,26.51,14.44,2,2,0,2.51,2.51,0,221,221,90,212.76,212.7,107.81,10,10,12.29,12.27,1,5,250.12,974.41,282.97,234.36,952.9,241.5,11.27,11.31,-20.2,-20.16,-166.38,-4.62,-4.51,-2.44,-0.51,-0.51,0,8.24,8.3,-17.81,-2.29,-2.27,-15.76,-21.51,-41.47,5854,6040.54,-186.54,34,40.95,-6.95,311,320.51,-9.50999999999999,1194.4,1257.38,-62.98,17
"2025","00-0039040","De'Von Achane","RB","MIA",0,85,238,0,35,0,67,0,66.22,0,481,1350,0,518.87,1084.17,0,4,8,0,2.48,4.09,0,0,0,0,0,0,0,23,56,0,23.75,47.66,0,2,0,0.96,0,0,0,133.04,132.98,0,139.1,183,1831,1603.04,12,6.57,79,71.41,322.1,266.02,0,0.78,0,-37.87,265.83,0,1.52,3.91,0,0,0,0,-0.75,8.34,0,1.04,0,6.06,50.02,227.96,5.43,7.59,56.08,454,454,407,3202,3202,306,306,309.47,309.48,3178,3178,1981,3284.83,3284.84,1780.24,22,22,14,18.43,18.4,9.67,1,1,0,1.48,1.48,0,167,167,99,163.06,163.09,93.2,17,17,10.25,10.29,2,1,187.59,751.48,236.19,183.12,753.8,280.1,-3.47,-3.48,-106.83,-106.84,200.76,3.57,3.6,4.33,-0.48,-0.48,0,3.94,3.91,5.8,6.75,6.71,-4.47,2.31999999999999,43.91,5159,5065.08,93.92,36,28.07,7.93,266,256.29,9.71,1033.9,987.67,46.23,16
"2020","00-0032940","DeAndre Washington","RB","MIA",0,9,28,0,25,0,4,0,6.64,0,28,86,0,63.3,114.78,0,0,0,0,0.07,0.86,0,0,0,0,0,0,0,2,2,0,2.14,3.96,0,0,0,0.08,0,0,0,13.38,16.65,0,6.8,8.6,114,178.08,0,0.93,4,6.1,15.4,30.03,0,-2.64,0,-35.3,-28.78,0,-0.07,-0.86,0,0,0,0,-0.14,-1.96,0,-0.08,0,-6.58,-8.05,-64.08,-0.93,-2.1,-14.63,113,113,81,1007,1007,67,67,75.47,75.5,742,742,295,933.1,933.12,331.73,6,6,2,6.2,6.16,3.27,0,0,0,0.6,0.6,0,42,42,16,48.49,48.48,17.22,1,1,2.47,2.45,0,3,58.35,207.11,52.79,51.68,177.2,35.5,-8.47,-8.5,-191.1,-191.12,-36.73,-0.2,-0.16,-1.27,-0.6,-0.6,0,-6.49,-6.48,-1.22,-1.47,-1.45,-6.67,-29.91,-17.29,1037,1264.85,-227.85,8,9.43,-1.43,58,65.7,-7.7,212.7,259.9,-47.2,3
"2021","00-0032257","Duke Johnson","RB","MIA",0,5,71,0,-8,0,4,0,4.11,0,41,330,0,25.41,300.99,0,0,3,0,0.02,3.22,0,0,0,0,0,0,0,3,18,0,1.28,16.19,0,0,0,0.04,0,0,0,6.73,49.45,0,8.1,51,371,326.4,3,3.24,21,17.47,59.1,56.18,0,-0.11,0,15.59,29.01,0,-0.02,-0.22,0,0,0,0,1.72,1.81,0,-0.04,0,1.37,1.55,44.6,-0.24,3.53,2.92,148,148,164,1133,1133,95,95,98.91,98.94,981,981,653,1031.48,1031.49,690.82,6,6,4,6.97,6.99,6.22,0,0,0,0,0,0,51,51,34,55.33,55.34,42.52,5,5,3.15,3.17,0,1,62.88,243.92,106.44,53.24,229.1,87.3,-3.91,-3.94,-50.48,-50.49,-37.82,-0.97,-0.99,-2.22,0,0,0,-4.33,-4.34,-8.52,1.85,1.83,-9.64,-14.82,-19.14,1634,1722.31,-88.31,10,13.21,-3.21,85,97.86,-12.86,316.4,350.36,-33.96,5
"2024","00-0039874","Jaylen Wright","RB","MIA",0,6,68,0,-6,0,3,0,4.85,0,8,249,0,30.86,318.87,0,0,0,0,0.26,0.51,0,0,0,0,0,0,0,1,11,0,1.68,12.54,0,0,0,0.05,0,1,0,9.54,34.98,0,3.8,22.9,257,349.73,0,0.77,12,14.22,26.7,44.52,0,-1.85,0,-22.86,-69.87,0,-0.26,-0.51,0,0,0,0,-0.68,-1.54,0,-0.05,0,-5.74,-12.08,-92.73,-0.77,-2.22,-17.82,448,448,352,2824,2824,309,309,303.87,303.85,2916,2916,1435,3069.78,3069.76,1548.6,17,17,9,21.96,21.87,12,1,1,0,1.58,1.58,0,165,165,74,164.28,164.23,86.8,10,10,9.27,9.23,1,5,195.26,745.78,226.92,166.64,702.6,187.5,5.13,5.15,-153.78,-153.76,-113.6,-4.96,-4.87,-3,-0.58,-0.58,0,0.72,0.770000000000002,-12.8,0.73,0.77,-28.62,-43.18,-39.42,4351,4618.36,-267.36,26,33.87,-7.87,239,251.03,-12.03,890.1,972.7,-82.6,13
"2025","00-0039874","Jaylen Wright","RB","MIA",0,9,70,0,-34,0,5,0,7.39,0,44,288,0,49.64,300.57,0,0,2,0,0.08,2.46,0,0,0,0,0,0,0,2,17,0,2.84,16.83,0,0,0,0.06,0,1,0,12.8,44.85,0,9.4,38.8,332,350.21,2,2.54,19,19.67,48.2,57.65,0,-2.39,0,-5.64,-12.57,0,-0.08,-0.46,0,0,0,0,-0.84,0.17,0,-0.06,0,-3.4,-6.05,-18.21,-0.54,-0.67,-9.45,217,217,272,1539,1539,147,147,145.73,145.74,1655,1655,1310,1586.12,1586.12,1146.3,12,12,10,10.28,10.26,8.08,0,0,0,0.96,0.96,0,85,85,71,76.38,76.36,65.86,7,7,4.95,4.97,1,1,96.6,367.91,163.31,100.2,382.5,189,1.27,1.26,68.88,68.88,163.7,1.72,1.74,1.92,-0.96,-0.96,0,8.62,8.64,5.14,2.05,2.03,3.6,14.59,25.69,2965,2732.42,232.58,22,18.34,3.66,156,142.22,13.78,571.5,531.22,40.28,9
"2023","00-0034115","Jeff Wilson","RB","MIA",0,19,41,0,45,0,15,0,13.58,0,91,188,0,116.91,179.24,0,0,0,0,0.27,1.04,0,0,0,0,0,0,0,3,8,0,4.12,9.29,0,0,0,0.28,0,0,0,26.95,24.21,0,24.1,18.8,279,296.15,0,1.31,11,13.41,42.9,51.16,0,1.42,0,-25.91,8.76,0,-0.27,-1.04,0,0,0,0,-1.12,-1.29,0,-0.28,0,-2.85,-5.41,-17.15,-1.31,-2.41,-8.26,333,333,247,2514,2514,220,220,222.92,222.92,2389,2389,1036,2465.46,2465.47,1086.76,14,14,10,13.51,13.49,9.78,0,0,0,0.52,0.52,0,116,116,54,125.42,125.38,58.74,9,9,7.33,7.33,1,3,139.07,551.63,167.51,133.56,540.9,157.6,-2.92,-2.92,-76.46,-76.47,-50.76,0.49,0.51,0.22,-0.52,-0.52,0,-9.42,-9.38,-4.74,1.67,1.67,-5.51,-10.73,-9.91,3425,3552.23,-127.23,24,23.27,0.73,170,184.12,-14.12,698.5,719.14,-20.64,10
"2024","00-0034115","Jeff Wilson","RB","MIA",0,3,16,0,0,0,3,0,2.4,0,19,57,0,16.65,71.45,0,0,0,0,0.03,0.34,0,0,0,0,0,0,0,0,3,0,0.7,4.95,0,0,0,0.02,0,0,0,4.29,9.18,0,4.9,5.7,76,88.1,0,0.37,3,5.65,10.6,13.47,0,0.6,0,2.35,-14.45,0,-0.03,-0.34,0,0,0,0,-0.7,-1.95,0,-0.02,0,0.61,-3.48,-12.1,-0.37,-2.65,-2.87,256,256,176,1652,1652,170,170,168.91,168.88,1747,1747,704,1697.08,1697.06,773.23,7,7,5,11.56,11.5,6.41,1,1,0,0.57,0.57,0,91,91,35,86.04,86,46.46,5,5,5.76,5.74,1,0,103.77,409.15,116.06,89.88,386.7,100.4,1.09,1.12,49.92,49.94,-69.23,-4.56,-4.5,-1.41,0.43,0.43,0,4.96,5,-11.46,-0.76,-0.74,-13.89,-22.45,-15.66,2451,2470.29,-19.29,12,17.91,-5.91,126,132.46,-6.46,487.1,525.21,-38.11,7
"2022","00-0034115","Jeffery Wilson","RB","MIA",0,28,94,0,67,0,13,0,20.25,0,107,415,0,171.7,391.15,0,1,4,0,0.6,2.96,0,0,0,0,0,0,0,5,22,0,7.12,19.43,0,1,0,0.33,0,0,0,41.03,56.82,0,29.7,65.5,522,562.85,5,3.56,27,26.55,95.2,97.85,0,-7.25,0,-64.7,23.85,0,0.4,1.04,0,0,0,0,-2.12,2.57,0,0.67,0,-11.33,8.68,-40.85,1.44,0.450000000000001,-2.65,307,307,206,2984,2984,176,176,193.23,193.23,2296,2296,835,2473.29,2473.25,845.57,14,14,7,11.16,11.16,5.31,1,1,0,0.48,0.48,0,111,111,47,119.05,119.04,45.04,10,10,7.81,7.83,0,2,128.93,508.52,116.44,129.84,491.6,121.5,-17.23,-17.23,-177.29,-177.25,-10.57,2.84,2.84,1.69,0.52,0.52,0,-8.05,-8.04,1.96,2.19,2.17,0.910000000000002,-16.92,5.06,3131,3318.82,-187.82,21,16.47,4.53,158,164.08,-6.08,613.1,624.96,-11.86,9
"2020","00-0032780","Jordan Howard","RB","MIA",0,1,28,0,-4,0,1,0,0.86,0,-3,33,0,5.46,82.03,0,0,4,0,0,4.35,0,0,0,0,0,0,0,0,6,0,0.27,8.51,0,0,0,0.01,0,0,0,1.43,34.32,0,0.7,27.3,30,87.49,4,4.35,6,8.78,28,35.75,0,0.14,0,-8.46,-49.03,0,0,-0.35,0,0,0,0,-0.27,-2.51,0,-0.01,0,-0.73,-7.02,-57.49,-0.35,-2.78,-7.75,170,170,132,1278,1278,118,118,112.28,112.27,1242,1242,518,1286.21,1286.23,538.84,6,6,6,8.38,8.38,7.97,2,2,1,1.05,1.05,0.36,69,69,38,66.85,66.83,38.42,5,5,4.14,4.14,0,0,78.82,293.3,102.51,67.68,282.2,89.8,5.72,5.73,-44.21,-44.23,-20.84,-2.38,-2.38,-1.97,0.95,0.95,0.64,2.15,2.17,-0.419999999999999,0.86,0.86,-11.14,-11.1,-12.71,1760,1825.07,-65.07,12,16.35,-4.35,107,105.25,1.75,372,395.81,-23.81,5
