season,receiver_player_id,receiver_full_name,receiver_position,posteam,targets,adot,deep_share,rz_targets,ez_targets,catchable
2020,00-0022921,Larry Fitzgerald,WR,ARI,72,6,0.06944444444444445,7,2,0.7376588703029685
2020,00-0024243,Marcedes Lewis,TE,GB,20,6.15,0.05,4,3,0.7166577845811843
2020,00-0025418,Greg Olsen,TE,SEA,37,7.8108108108108105,0.02702702702702703,9,5,0.6634984282222954
2020,00-0026035,Danny Amendola,WR,DET,69,8.086956521739129,0.07246376811594203,6,2,0.7007289870061736
2020,00-0026189,DeSean Jackson,WR,PHI,26,16.615384615384617,0.3076923076923077,2,0,0.5855590672447131
2020,00-0027061,Jared Cook,TE,NO,74,10.864864864864865,0.0945945945945946,16,4,0.6332379801047815
2020,00-0027150,Julian Edelman,WR,NE,39,10.282051282051281,0.1282051282051282,4,2,0.6476729810237885
2020,00-0027656,Rob Gronkowski,TE,TB,91,10.65934065934066,0.1978021978021978,23,13,0.6250747045972845
2020,00-0027685,Emmanuel Sanders,WR,NO,94,8.585106382978724,0.07446808510638298,14,7,0.6954546030214492
2020,00-0027696,Jimmy Graham,TE,CHI,78,6.923076923076923,0.05128205128205128,21,12,0.6540811161200205
2020,00-0027793,Antonio Brown,WR,TB,74,9.108108108108107,0.17567567567567569,9,4,0.6909979499272398
2020,00-0027891,Golden Tate,WR,NYG,52,8.923076923076925,0.11538461538461539,5,2,0.6389898159182988
2020,00-0027942,A.J. Green,WR,CIN,104,13.721153846153847,0.25,9,7,0.5580505178524897
2020,00-0027944,Julio Jones,WR,ATL,68,11.235294117647058,0.19117647058823528,10,1,0.6505239702322904
2020,00-0027981,Kyle Rudolph,TE,MIN,38,7.2631578947368425,0.02631578947368421,6,3,0.7050394964845557
2020,00-0028002,Randall Cobb,WR,HOU,50,6.540000000000001,0.04,9,8,0.6869380688667297
2020,00-0028087,Dion Lewis,RB,NYG,31,2.290322580645161,0,6,2,0.6980202582574659
2020,00-0028237,NA,NA,NYJ,26,9.961538461538462,0.11538461538461539,4,2,0.5922998934984207
2020,00-0028411,Dontrelle Inman,WR,WAS,29,8.03448275862069,0.06896551724137931,3,1,0.6345411251331198
2020,00-0029000,Cole Beasley,WR,BUF,126,7.507936507936508,0.09523809523809523,11,7,0.7016755956269446
2020,00-0029293,Marvin Jones,WR,DET,116,12.612068965517244,0.21551724137931033,15,6,0.6200658884541742
2020,00-0029608,T.Y. Hilton,WR,IND,99,12.616161616161614,0.1717171717171717,11,4,0.6223993847767513
2020,00-0029632,Mohamed Sanu,WR,DET,24,11.916666666666668,0.16666666666666666,2,1,0.6470620644589266
2020,00-0029738,Darren Fells,TE,HOU,28,7.107142857142857,0,4,2,0.6927623291100774
2020,00-0029892,Kyle Juszczyk,RB,SF,29,6.482758620689655,0.10344827586206896,9,5,0.6795283761517755
2020,00-0030035,Adam Thielen,WR,MIN,109,11.385321100917428,0.1743119266055046,21,14,0.6205301462510311
2020,00-0030061,Zach Ertz,TE,PHI,73,7.36986301369863,0.0410958904109589,8,6,0.6738062770399329
2020,00-0030181,Jack Doyle,TE,IND,43,7.023255813953488,0.023255813953488372,10,4,0.698436668099359
2020,00-0030279,Keenan Allen,WR,LAC,149,7.087248322147653,0.06711409395973154,19,8,0.6866705106608819
2020,00-0030288,Rex Burkhead,RB,NE,33,0.9393939393939408,0.06060606060606061,6,2,0.7273819315614123
2020,00-0030404,Chris Thompson,RB,JAX,23,2.782608695652174,0,4,0,0.7450902928476748
2020,00-0030431,Robert Woods,WR,LA,147,6.680272108843536,0.08843537414965986,13,3,0.7004279983895165
2020,00-0030456,Giovani Bernard,RB,CIN,59,1.305084745762711,0.03389830508474576,11,4,0.7373575646493394
2020,00-0030470,Vance McDonald,TE,PIT,22,1.8636363636363638,0,3,2,0.7427669248797677
2020,00-0030472,Jordan Reed,TE,SF,46,8.043478260869566,0.06521739130434782,8,4,0.648691836906516
2020,00-0030496,Le'Veon Bell,RB,KC,20,0.5499999999999997,0,7,2,0.7745597124099731
2020,00-0030506,Travis Kelce,TE,KC,186,8.274193548387096,0.05913978494623656,31,19,0.6791317347557314
2020,00-0030513,Latavius Murray,RB,NO,28,-1.2857142857142863,0,6,1,0.8027418894427163
2020,00-0030549,Tyler Eifert,TE,JAX,60,8.2,0.1,11,3,0.6666226913531621
2020,00-0030564,DeAndre Hopkins,WR,ARI,161,8.813664596273291,0.09937888198757763,19,11,0.6939955148267449
2020,00-0030578,Cordarrelle Patterson,WR,CHI,25,3.5999999999999996,0.08,3,0,0.7416603100299836
2020,00-0030663,Willie Snead,WR,BAL,55,8.163636363636364,0.10909090909090909,8,4,0.6813672450455752
2020,00-0030710,Trey Burton,TE,IND,50,7.4,0.02,10,4,0.6764353203773499
2020,00-0031045,Carlos Hyde,RB,SEA,20,2.35,0.05,0,0,0.7203123040497303
2020,00-0031051,John Brown,WR,BUF,71,12,0.2112676056338028,11,4,0.6367757790525195
2020,00-0031062,James White,RB,NE,62,-0.6451612903225803,0,6,3,0.7758548605826593
2020,00-0031235,Odell Beckham,WR,CLE,43,13.581395348837209,0.20930232558139536,6,5,0.608819029705469
2020,00-0031236,Brandin Cooks,WR,HOU,119,11.789915966386554,0.20168067226890757,11,5,0.6401427747572169
2020,00-0031260,Logan Thomas,TE,WAS,121,7.280991735537189,0.09917355371900827,21,9,0.6543428979136727
2020,00-0031273,Cameron Brate,TE,TB,53,8.754716981132075,0.07547169811320754,6,5,0.6714812961389434
2020,00-0031325,Sammy Watkins,WR,KC,56,8.125,0.03571428571428571,9,8,0.6931046364562852
2020,00-0031376,Jerick McKinnon,RB,SF,47,3.3617021276595733,0.06382978723404255,7,3,0.7168623500681938
2020,00-0031381,Davante Adams,WR,GB,174,8.30459770114943,0.1206896551724138,37,27,0.6742029373330631
2020,00-0031382,Jarvis Landry,WR,CLE,119,7.630252100840337,0.09243697478991597,21,10,0.6869302726342899
2020,00-0031384,Richard Rodgers,TE,PHI,32,9.59375,0.125,4,1,0.6358788968063891
2020,00-0031387,Eric Ebron,TE,PIT,103,6.805825242718445,0.05825242718446602,23,11,0.6747487685055409
2020,00-0031408,Mike Evans,WR,TB,133,13.135338345864662,0.23308270676691728,24,18,0.5794791944493028
