season,player_id,full_name,position,opps_rec,opps_rush,ep_total_rec,ep_total_rush,ep_per_opp_rec,ep_per_opp_rush
2023,00-0035662,Marquise Brown,WR,104,NA,170.449611982374,NA,1.6389385767535962,NA
2023,00-0035664,Darrell Henderson,RB,NA,46,NA,105.25416251394199,NA,2.2881339676943915
2023,00-0035676,A.J. Brown,WR,158,NA,305.14964392303955,NA,1.931326860272402,NA
2023,00-0035685,David Montgomery,RB,NA,219,NA,597.7080974032579,NA,2.729260718736337
2023,00-0035700,Josh Jacobs,RB,54,233,114.6571856358787,624.4616209191445,2.1232812154792353,2.680092793644396
2023,00-0035710,Daniel Jones,QB,NA,40,NA,91.91977148014121,NA,2.2979942870035304
2023,00-0035719,Deebo Samuel,WR,89,NA,183.44004066646448,NA,2.061124052432185,NA
2023,00-0036040,Juwan Johnson,TE,59,NA,129.93121796788182,NA,2.202224033353929,NA
2023,00-0036139,Rico Dowdle,RB,NA,89,NA,262.94074242915667,NA,2.954390364372547
2023,00-0036182,Nick Westbrook-Ikhine,WR,46,NA,94.90786561650737,NA,2.0632144699240733,NA
2023,00-0036196,Gabe Davis,WR,82,NA,178.3549212549841,NA,2.1750600153046844,NA
2023,00-0036223,Jonathan Taylor,RB,NA,169,NA,439.71778413132415,NA,2.601880379475291
2023,00-0036251,Zack Moss,RB,NA,183,NA,480.1727431482868,NA,2.6238947713021146
2023,00-0036252,Michael Pittman,WR,158,NA,314.83594268024876,NA,1.9926325486091696,NA
2023,00-0036261,Brandon Aiyuk,WR,105,NA,202.27522557030898,NA,1.9264307197172286,NA
2023,00-0036264,Jordan Love,QB,NA,51,NA,103.53123653026694,NA,2.030024245691508
2023,00-0036265,AJ Dillon,RB,NA,178,NA,469.94572176929796,NA,2.6401445043218983
2023,00-0036275,D'Andre Swift,RB,49,229,86.71263712499058,585.5608971378533,1.7696456556120528,2.5570344853181366
2023,00-0036290,Cole Kmet,TE,90,NA,183.79026257205987,NA,2.0421140285784434,NA
2023,00-0036309,Darnell Mooney,WR,61,NA,112.61961934348801,NA,1.8462232679260329,NA
2023,00-0036322,Justin Jefferson,WR,100,NA,205.22162357205525,NA,2.0522162357205525,NA
2023,00-0036328,Antonio Gibson,RB,59,65,93.9818579396524,148.06901590441703,1.5929128464347866,2.277984860067954
2023,00-0036345,K.J. Osborn,WR,75,NA,147.47529340803158,NA,1.966337245440421,NA
2023,00-0036355,Justin Herbert,QB,NA,52,NA,124.63385362998815,NA,2.3968048774997723
2023,00-0036358,CeeDee Lamb,WR,182,NA,428.93186178932945,NA,2.356768471369942,NA
2023,00-0036360,Clyde Edwards-Helaire,RB,NA,70,NA,178.5695389608445,NA,2.55099341372635
2023,00-0036370,Joshua Kelley,RB,NA,107,NA,259.4880350322928,NA,2.4251218227317084
2023,00-0036389,Jalen Hurts,QB,NA,157,NA,379.5223054770031,NA,2.41733952533123
2023,00-0036407,Jerry Jeudy,WR,87,NA,167.59256853180705,NA,1.9263513624345638,NA
2023,00-0036410,Tee Higgins,WR,76,NA,156.274079873343,NA,2.0562378930703025,NA
2023,00-0036414,Cam Akers,RB,NA,60,NA,137.9039250788337,NA,2.2983987513138953
2023,00-0036415,Van Jefferson,WR,43,NA,71.52833831933094,NA,1.6634497283565335,NA
2023,00-0036550,Rashod Bateman,WR,56,NA,116.520122882328,NA,2.080716480041571,NA
2023,00-0036554,Nico Collins,WR,109,NA,213.36852809868287,NA,1.9575094320980084,NA
2023,00-0036555,Chuba Hubbard,RB,44,238,59.28688176738797,534.8980606323166,1.3474291310769995,2.2474708429929278
2023,00-0036567,Elijah Mitchell,RB,NA,75,NA,221.10638147464488,NA,2.948085086328599
2023,00-0036613,Jaylen Waddle,WR,104,NA,201.61687330671703,NA,1.938623781795356,NA
2023,00-0036637,Noah Gray,TE,41,NA,88.88809631628101,NA,2.1680023491775855,NA
